source_batch,source_archive_sha256,battle_id,source_image_sha256,track,game_version,cohort,context,participant_scope,parent_group,display_name,canonical_troop_id,identity_status,battle_state,player_outcome,player_side,deployed,survivors,kills,deaths,wounded,routed,player_side_total_kills,player_side_total_deployed
2026-08-29-to-09-05-rot-white-harbor-and-joffrey-cohorts,9cc8482caf6d37356b186c0a68dfa9e6f50303fb715f6ddfc3a49e2593b59c9d,battle_j07,ae2a1bbd8c3b3e8719377b1913d271756dc7eb204e72d92ebadf23f9456ddd67,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,victory,defender,4,4,7,0,0,0,263,236
2026-08-29-to-09-05-rot-white-harbor-and-joffrey-cohorts,9cc8482caf6d37356b186c0a68dfa9e6f50303fb715f6ddfc3a49e2593b59c9d,battle_j08,84acf08acbea43f40c0e707947c339235436a6af78274a310d0d6ac2b4004119,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,victory,attacker,4,3,6,0,1,0,101,199
2026-08-29-to-09-05-rot-white-harbor-and-joffrey-cohorts,9cc8482caf6d37356b186c0a68dfa9e6f50303fb715f6ddfc3a49e2593b59c9d,battle_j09,7a932134233035691521f1a24c62586fb26dbc1e9cbe9e6569778038ecd200e1,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,victory,defender,4,3,11,0,1,0,417,269
2026-08-29-to-09-05-rot-white-harbor-and-joffrey-cohorts,9cc8482caf6d37356b186c0a68dfa9e6f50303fb715f6ddfc3a49e2593b59c9d,battle_j11,b6f57c9f9f1e64642aa4d640bc0cc6cc6612f253a075d151fb2f6b28e3010e26,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,victory,defender,8,0,30,1,7,0,945,337
2026-08-29-to-09-05-rot-white-harbor-and-joffrey-cohorts,9cc8482caf6d37356b186c0a68dfa9e6f50303fb715f6ddfc3a49e2593b59c9d,battle_j12,87d377be067b7d3109e277354e81ea090546549e16c7e900860cda595dfc43de,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,victory,attacker,9,7,15,2,0,0,357,346
2026-08-29-to-09-05-rot-white-harbor-and-joffrey-cohorts,9cc8482caf6d37356b186c0a68dfa9e6f50303fb715f6ddfc3a49e2593b59c9d,battle_j13,382667e1196cefd91fe0d4bddf245ba565e2cf05e3e4e5a3c2ed871001d0dfc9,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,victory,defender,7,5,19,0,2,0,614,324
2026-08-29-to-09-05-rot-white-harbor-and-joffrey-cohorts,9cc8482caf6d37356b186c0a68dfa9e6f50303fb715f6ddfc3a49e2593b59c9d,battle_j14,dfda2475a8f007271376019b46159b3e9113e51ef39de7f98c5714e1c00b4e09,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,victory,defender,14,5,44,0,9,0,739,324
2026-08-29-to-09-05-rot-white-harbor-and-joffrey-cohorts,9cc8482caf6d37356b186c0a68dfa9e6f50303fb715f6ddfc3a49e2593b59c9d,battle_j16,396b5f68cba17d03e41d1ea9267f24bacceca734cbf8b9b330aadd0bb3de5891,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,victory,defender,18,16,51,0,2,0,1104,461
2026-08-29-to-09-05-rot-white-harbor-and-joffrey-cohorts,9cc8482caf6d37356b186c0a68dfa9e6f50303fb715f6ddfc3a49e2593b59c9d,battle_j17,8f331131c5300289733437588205106b6eada684c578f1cf56eaca67ce6567e1,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,victory,defender,18,16,47,0,2,0,515,274
2026-08-29-to-09-05-rot-white-harbor-and-joffrey-cohorts,9cc8482caf6d37356b186c0a68dfa9e6f50303fb715f6ddfc3a49e2593b59c9d,battle_j18,db4326524e58247fbb6d7bcc8a125c7db5c27399bf72a4312278778f653e1624,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,victory,defender,18,15,45,0,3,0,572,308
2026-08-29-to-09-05-rot-white-harbor-and-joffrey-cohorts,9cc8482caf6d37356b186c0a68dfa9e6f50303fb715f6ddfc3a49e2593b59c9d,battle_j19,955e026f068ab8b55a9b5f3840aaad94c3bc376f09bc7132f4a96ac82d4eaaf9,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,defeat,defender,18,0,55,5,13,0,1127,347
2026-09-05-to-06-rot-westerling-field-followup,1ba4c3c28db029bda23f57a6c830c0d57107b9a6e89dd1b1258a70514f56222a,battle_jf01,4919c360c58fc674aff5cee7c4a40973c45a5e9e43c0b8c811285e5f5cd0dbe0,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,defeat,defender,18,0,21,3,15,0,738,347
2026-09-05-to-06-rot-westerling-field-followup,1ba4c3c28db029bda23f57a6c830c0d57107b9a6e89dd1b1258a70514f56222a,battle_jf02,1943bdff65e0d945d374cf4f65f33d421feb92fa337b54a7bab29d016a05624e,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,victory,defender,18,13,90,1,4,0,905,280
2026-09-05-to-06-rot-westerling-field-followup,1ba4c3c28db029bda23f57a6c830c0d57107b9a6e89dd1b1258a70514f56222a,battle_jf03,dfa3eeaf267e3939def8c80b745d4a88e07dea7d3472f65f46b72144011284db,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,defeat,attacker,17,0,19,1,16,0,575,342
2026-09-05-to-06-rot-westerling-field-followup,1ba4c3c28db029bda23f57a6c830c0d57107b9a6e89dd1b1258a70514f56222a,battle_jf04,0046671a08e055d474223e5b0679cd6b69eb1b1df0451ce58bf89fe217f9c6d4,realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,confirmed_id,final,defeat,attacker,17,0,29,4,13,0,464,342
