file,sha256,size_bytes
artifact_hashes.csv,1812f463d814d581fc3f29d8169ca278e60629a87816e52b39a6a8eff2f5458a,1588
batch_state.json,76109a5f45a67027469646b5e7332797fcd98125c7d1462be7e655792184753b,1099
bundle/README.md,ad71026f7f051575d29091a40424c9f0c1f50a2931a661a8d98170dd6902c81f,1221
bundle/stark_sworn_mixed_2026-08-21.tar.xz.base64.part-00,ce5930a02c255e165dd355bf295ad57e7a233ecc8df08a700fafd954b4505dcd,20693
handoff/ANALYSIS_PROMPT.md,23133d426b50c3ec7ccfb75251bf3c6db9af087f2d9bad9ba6a016cfd7473546,5765
reports/aggregation_validation.csv,fc48abed6f1628569463fc8469c2f93292ce8d6388475640ccffcff8f5f66888,802
reports/grouping_validation.csv,d95174f2397aad5b4e639423e20976be72645fb699053a3cc690e201c3656a6b,1198
reports/screenshot_deduplication_audit.csv,0bac0ff3ac59f1b1083b70ed0e9ee6c9d0840c0d7ea8c1b152979ceed7b33a80,7161
screenshots_manifest.csv,3d946b71cf6094192c3b396b1853f90304c1da89a5144765bb8ccb0a9f6aa83f,3913
source_inventory.csv,7f93bf8cbd05124e188e6089d295fab4f58061de0f7d5e6f792895701d4bef54,6880
source_provenance.json,d7aa22b19c43881b64c9e856d3069a7435c5ecc622fa6f2e6631468c75c4a914,1681
validation_report.json,0183a30216523becb0eedf35c08c0a115918f7bc7de755b5fd33e74b1956cf36,2441
