file,size_bytes,sha256
analysis/ANALYSIS_REPORT.md,5742,ac38f8b6ff06f6b9a7ef6fe4b162fa3650d07b3a67b106db3a3c6585dd0a31cc
analysis/NEXT_TEST_RECOMMENDATION.md,472,d26d50432e7934e7ac2401301e5d9870ceaa1b94bc69967bf7e5c974efc2945b
analysis/README.md,414,d22c44589d74dbec9785352822b56b065cef3815be585a5976a3fa152ed3df12
analysis/STOP_DECISION.md,442,8a266bd50c2efadd0ac3c08255148a7bb41b001f2c2f17f694936c3731d35b6e
analysis/canonical_identity_audit.csv,4744,d0ecf12e4c3f82be69450c8109a80be9e4fa1f740dbfd010cd976f69d84f4d2b
analysis/compatibility_decision.json,1021,ef3700e96fac01dc7a57365287fe600eaa479576d7fc43bc9f3ee34ae693c685
analysis/compatible_ten_battle_projection.csv,3683,3cacbfaca418dae6c52eefce0d5151e0c20209dbd1730e58c7933811fb86ec2d
analysis/focus_battle_rates.csv,3058,b2e153d9ac4ac12f1672da4a1f1d97f05f84f25e5be463ad7eef972dac85d67f
analysis/focus_cohort_comparison.csv,1346,faedcfe8f0a763a38fbb84e624b80357cf4185e296f1680013ca8394e99c9f70
analysis/generate_analysis.py,37451,8bff55cc67a1154275ffb84d96455b62d5083fdecd4fc389adb316b8bc63b57c
analysis/insufficient_evidence.csv,3217,bbc141044e90ee88c194a2b86a97b08c8b3b38b6e56faaa4657285c238bd25f9
analysis/pressure_margin.csv,1422,8521f00501bf639a6abfd2be9d124933766ce4d7d95b9f6de0e71644f6fc5860
analysis/ranking_complete.csv,3716,31721d9712272617dee6fc7f7550eea8deb38bd153aba377ce0c7efd3f3a42a6
analysis/ranking_reliable.csv,836,37791424e78a2dbac31e9d039db58511214c52396f9e7438de4ea7774d895431
analysis/validation_report.json,1192,a757b5e5b13d4a7c4c82d3f41a7440f2ce2a60a8609167b8bcefe3b25334b799
analysis/victory_defeat_splits.csv,3569,2044055f4f000e09ac78f4f6543fd298f1bdc7d51edda9b6953e26d26c62575b
review/README.md,255,314eb754aabb39edace8d353dba11385bea1293ac35c09ba6106183f1a8d560c
review/identity_corrections.csv,1329,c260328445c97797864d91f208bfbef03d059d8bbf92ba31f3f2d7a3f8e63304
review/review_decisions.csv,84,5a17f5575015c942ffc8b615b65e5a3a0a19fc8e248fa2724d0b6c031f11e5d2
