priority_tier,priority_reason,observation_id,battle_id,battle_type,source_image_indices,side,player_side,parent_group,display_name_raw,display_name_normalized,canonical_name_slug,uncertain_core_fields,sample_battles,sample_deployed,survivors,kills,deaths,wounded,routed,deployed,ocr_confidence
P1,player_core_uncertainty_below_display_gate,battle_20260717_190741_defender_025_rhodok_crossbowman,battle_20260717_190741,field,55,defender,defender,Faldrec's Party,Rhadok Crossbowman,Rhodok Crossbowman,rhodok_crossbowman,kills,1,5,5,100,0,0,0,5,0.705
P1,player_core_uncertainty_below_display_gate,battle_20260718_005538_defender_019_rhodok_river_hunter_rapeeaps,battle_20260718_005538,field,5,defender,defender,Faldrec's Party,Rhodok River Hunter [rapeeaps |,Rhodok River Hunter [rapeeaps,rhodok_river_hunter_rapeeaps,wounded,1,5,4,55,0,1,0,5,0.723
P1,player_core_uncertainty_below_display_gate,battle_20260717_210939_attacker_010_imperial_crossbowman,battle_20260717_210939,field,1,attacker,attacker,Ulvi's Party,Imperial Crossbowman,Imperial Crossbowman,imperial_crossbowman,survivors,1,4,0,0,0,4,0,4,0.696
P1,player_core_uncertainty_below_display_gate,battle_20260717_210939_attacker_012_imperial_equite,battle_20260717_210939,field,1,attacker,attacker,Ulvi's Party,Imperial Equite,Imperial Equite,imperial_equite,survivors,1,4,0,1,0,4,0,4,0.781
P1,player_core_uncertainty_below_display_gate,battle_20260721_233102_defender_020_freefolk_thenn_impaler_t6,battle_20260721_233102,field,52,defender,defender,Hake's Party,Freefolk Thenn Impaler [T6],Freefolk Thenn Impaler [T6],freefolk_thenn_impaler_t6,survivors,1,4,0,88,3,1,0,4,0.822
P1,player_core_uncertainty_below_display_gate,battle_20260723_144442_attacker_015_fe_flite_hired_crosshow_t5,battle_20260723_144442,siege_attack,33,attacker,attacker,Hake's Party,fe Flite Hired Crosshow [TS],fe Flite Hired Crosshow [T5],fe_flite_hired_crosshow_t5,deaths,1,4,3,1,1,0,0,4,0.596
P1,player_core_uncertainty_below_display_gate,battle_20260717_210939_attacker_007_empire_peasant,battle_20260717_210939,field,1,attacker,attacker,Ulvi's Party,Empire Peasant,Empire Peasant,empire_peasant,survivors,1,3,0,0,0,3,0,3,0.794
P1,player_core_uncertainty_below_display_gate,battle_20260721_180725_attacker_017_je_night_s_watch_elite_crossbowman_t4,battle_20260721_180725,field,51,attacker,attacker,Hake's Party,je__ Night's Watch Elite Crossbowman [T4],je Night's Watch Elite Crossbowman [T4],je_night_s_watch_elite_crossbowman_t4,survivors,1,3,3,2,0,0,0,3,0.63
P1,player_core_uncertainty_below_display_gate,battle_20260716_182734_attacker_011_vlandian_nauta,battle_20260716_182734,field,11,attacker,attacker,,Vlandian Nauta,Vlandian Nauta,vlandian_nauta,kills,1,2,1,99,0,1,0,2,0.676
P1,player_core_uncertainty_below_display_gate,battle_20260716_182734_attacker_017_sturgian_druzhinnik_champion,battle_20260716_182734,field,11;12,attacker,attacker,,Sturgian Druzhinnik Champion,Sturgian Druzhinnik Champion,sturgian_druzhinnik_champion,survivors,1,2,0,3,0,2,0,2,0.821
P1,player_core_uncertainty_below_display_gate,battle_20260717_194357_defender_028_rhodok_veteran_spearman,battle_20260717_194357,field,56,defender,defender,Faldrec's Party,Rhodok Veteran Spearman,Rhodok Veteran Spearman,rhodok_veteran_spearman,survivors,1,2,0,2,1,1,0,2,0.814
P1,player_core_uncertainty_below_display_gate,battle_20260723_235732_attacker_014_stormlands_bowman_t2_sees,battle_20260723_235732,field,46,attacker,attacker,,Stormlands Bowman [T2] Sees,Stormlands Bowman [T2] Sees,stormlands_bowman_t2_sees,survivors,1,2,1,0,0,1,0,2,0.636
P1,player_core_uncertainty_below_display_gate,battle_20260724_010046_attacker_001_vywvywwy,battle_20260724_010046,siege_attack,47,attacker,attacker,,vywvywwy?,vywvywwy,vywvywwy,deaths;wounded,1,2,0,0,2,0,0,2,0.291
P1,player_core_uncertainty_below_display_gate,battle_20260724_011947_defender_022_j_ravager_t3_tn,battle_20260724_011947,siege_defense,48,defender,defender,Hake's Party,J Ravager [13] Tn,J Ravager [T3] Tn,j_ravager_t3_tn,kills,1,2,0,1,0,2,2,2,0.548
P1,player_core_uncertainty_below_display_gate,battle_20260724_011947_defender_029_riverlands_horseman_t4,battle_20260724_011947,siege_defense,48,defender,defender,Hake's Party,Riverlands Horseman [T4],Riverlands Horseman [T4],riverlands_horseman_t4,survivors,1,2,0,4,0,2,0,2,0.864
P1,player_core_uncertainty_below_display_gate,battle_20260724_011947_defender_031_squire_t3_y,battle_20260724_011947,siege_defense,48,defender,defender,Hake's Party,Squire [T3] y!,Squire [T3] y,squire_t3_y,survivors,1,2,0,4,0,2,0,2,0.711
P1,player_core_uncertainty_below_display_gate,battle_20260716_202956_attacker_017_nadric,battle_20260716_202956,field,14,attacker,attacker,,Nadric,Nadric,nadric,survivors,1,1,0,1,0,1,0,1,0.799
P1,player_core_uncertainty_below_display_gate,battle_20260717_210939_attacker_008_imperial_bucellarii,battle_20260717_210939,field,1,attacker,attacker,Ulvi's Party,Imperial Bucellarii,Imperial Bucellarii,imperial_bucellarii,survivors,1,1,0,0,0,1,0,1,0.724
P1,player_core_uncertainty_below_display_gate,battle_20260717_210939_attacker_015_imperial_palatine_guard,battle_20260717_210939,field,1,attacker,attacker,Ulvi's Party,Imperial Palatine Guard,Imperial Palatine Guard,imperial_palatine_guard,survivors,1,1,0,0,0,1,0,1,0.775
P1,player_core_uncertainty_below_display_gate,battle_20260718_005538_defender_022_daghild_e,battle_20260718_005538,field,5,defender,defender,Faldrec's Party,Daghild =e,Daghild =e,daghild_e,survivors,1,1,0,6,0,1,0,1,0.654
