priority_tier,priority_reason,observation_id,battle_id,battle_type,source_image_indices,side,player_side,parent_group,display_name_raw,display_name_normalized,canonical_name_slug,uncertain_core_fields,sample_battles,sample_deployed,survivors,kills,deaths,wounded,routed,deployed,ocr_confidence
P1,player_core_uncertainty_below_display_gate,battle_20260717_190741_defender_028_quirand_quarrelsmith,battle_20260717_190741,field,55,defender,defender,Faldrec's Party,Quirand Quarrelsmith |,Quirand Quarrelsmith,quirand_quarrelsmith,kills,6,6,1,3,0,0,0,1,0.737
P1,player_core_uncertainty_below_display_gate,battle_20260718_011220_defender_019_quirand_quarrelsmith,battle_20260718_011220,field,7,defender,defender,Faldrec's Party,Quirand Quarrelsmith &,Quirand Quarrelsmith,quirand_quarrelsmith,kills,6,6,1,4,0,0,0,1,0.825
P1,player_core_uncertainty_below_display_gate,battle_20260718_014339_attacker_012_quirand_quarrelsmith,battle_20260718_014339,field,9,attacker,attacker,Faldrec's Party,Quirand Quarrelsmith,Quirand Quarrelsmith,quirand_quarrelsmith,kills,6,6,1,1,0,0,0,1,0.798
P1,player_core_uncertainty_below_display_gate,battle_20260723_010338_defender_026_westerling_hedgeknight_t6,battle_20260723_010338,field,20,defender,defender,Hake's Party,Westerling Hedgeknight [T6],Westerling Hedgeknight [T6],westerling_hedgeknight_t6,survivors,6,6,0,2,0,1,0,1,0.762
P1,player_core_uncertainty_below_display_gate,battle_20260723_122343_attacker_017_westerling_hedgeknight_t6,battle_20260723_122343,siege_attack,28,attacker,attacker,,Westerling Hedgeknight [T6],Westerling Hedgeknight [T6],westerling_hedgeknight_t6,kills,6,6,1,,0,0,0,1,0.847
P1,player_core_uncertainty_below_display_gate,battle_20260723_144442_attacker_013_westerling_hedgeknight_t6,battle_20260723_144442,siege_attack,33,attacker,attacker,Hake's Party,Westerling Hedgeknight [T6],Westerling Hedgeknight [T6],westerling_hedgeknight_t6,survivors,6,6,0,2,0,1,0,1,0.774
P1,player_core_uncertainty_below_display_gate,battle_20260723_001446_attacker_008_stormlands_crossbowman_t4,battle_20260723_001446,field,16,attacker,attacker,Hake's Party,Stormlands Crossbowman [T4],Stormlands Crossbowman [T4],stormlands_crossbowman_t4,survivors;kills,5,16,0,25,1,6,0,7,0.729
P1,player_core_uncertainty_below_display_gate,battle_20260723_235732_attacker_018_stormlands_crossbowman_t4,battle_20260723_235732,field,46,attacker,attacker,,Stormlands Crossbowman [T4],Stormlands Crossbowman [T4],stormlands_crossbowman_t4,survivors,5,16,0,0,1,0,0,1,0.729
P1,player_core_uncertainty_below_display_gate,battle_20260723_104235_attacker_015_tyrell_elite_longbowman_t5,battle_20260723_104235,field,22,attacker,attacker,,Tyrell Elite Longbowman [T5],Tyrell Elite Longbowman [T5],tyrell_elite_longbowman_t5,kills,5,13,3,,0,0,0,3,0.911
P1,player_core_uncertainty_below_display_gate,battle_20260723_122343_attacker_019_tyrell_elite_longbowman_t5,battle_20260723_122343,siege_attack,28,attacker,attacker,,Tyrell Elite Longbowman [TS],Tyrell Elite Longbowman [T5],tyrell_elite_longbowman_t5,survivors,5,13,0,5,0,3,0,3,0.787
