priority_tier,priority_reason,observation_id,battle_id,battle_type,source_image_indices,side,player_side,parent_group,display_name_raw,display_name_normalized,canonical_name_slug,uncertain_core_fields,sample_battles,sample_deployed,survivors,kills,deaths,wounded,routed,deployed,ocr_confidence
P1,player_core_uncertainty_below_display_gate,battle_20260723_001446_attacker_015_dondarrion_boltknight_t6,battle_20260723_001446,field,16,attacker,attacker,Hake's Party,"Dondarrion Boltknight [T6] """,Dondarrion Boltknight [T6],dondarrion_boltknight_t6,survivors,4,6,0,0,2,1,0,3,0.8
P1,player_core_uncertainty_below_display_gate,battle_20260717_211550_defender_024_daghild,battle_20260717_211550,field,4,defender,defender,Faldrec's Party,Daghild,Daghild,daghild,survivors,4,4,0,0,0,1,0,1,0.714
P1,player_core_uncertainty_below_display_gate,battle_20260718_011220_defender_025_daghild,battle_20260718_011220,field,7,defender,defender,Faldrec's Party,Daghild,Daghild,daghild,survivors;wounded,4,4,0,0,0,1,0,1,0.588
P1,player_core_uncertainty_below_display_gate,battle_20260718_013447_attacker_013_yana,battle_20260718_013447,field,8,attacker,attacker,Faldrec's Party,Yana,Yana,yana,survivors,4,4,0,0,0,1,0,1,0.64
P1,player_core_uncertainty_below_display_gate,battle_20260723_235732_attacker_006_stormlands_recruit_t1,battle_20260723_235732,field,46,attacker,attacker,,Stormlands Recruit [T1],Stormlands Recruit [T1],stormlands_recruit_t1,kills;wounded,3,69,46,27,3,4,0,53,0.803
P1,player_core_uncertainty_below_display_gate,battle_20260717_210939_attacker_013_imperial_legionary,battle_20260717_210939,field,1,attacker,attacker,Ulvi's Party,Imperial Legionary,Imperial Legionary,imperial_legionary,survivors,3,12,0,0,1,6,0,7,0.771
P1,player_core_uncertainty_below_display_gate,battle_20260718_011220_defender_031_imperial_legionary,battle_20260718_011220,field,7,defender,defender,Faldrec's Party,Imperial Legionary,Imperial Legionary,imperial_legionary,survivors,3,12,0,0,1,2,0,3,0.824
P1,player_core_uncertainty_below_display_gate,battle_20260717_210939_attacker_011_imperial_elite_menavliaton,battle_20260717_210939,field,1,attacker,attacker,Ulvi's Party,Imperial Elite Menavliaton,Imperial Elite Menavliaton,imperial_elite_menavliaton,survivors,3,8,0,5,0,5,0,5,0.836
P1,player_core_uncertainty_below_display_gate,battle_20260718_011220_defender_030_imperial_elite_menavliaton,battle_20260718_011220,field,7,defender,defender,Faldrec's Party,Imperial Elite Menavliaton,Imperial Elite Menavliaton,imperial_elite_menavliaton,survivors,3,8,0,0,0,2,0,2,0.824
P1,player_core_uncertainty_below_display_gate,battle_20260723_234233_attacker_016_stormlands_archer_t3,battle_20260723_234233,siege_attack,44;45,attacker,attacker,Hake's Party,Stormlands Archer [T3],Stormlands Archer [T3],stormlands_archer_t3,survivors,3,6,0,1,0,2,0,2,0.812
P1,player_core_uncertainty_below_display_gate,battle_20260721_233102_defender_024_sarnori_spider_t6,battle_20260721_233102,field,52,defender,defender,Hake's Party,Sarnori Spider [T6],Sarnori Spider [T6],sarnori_spider_t6,survivors,3,4,0,20,0,1,0,1,0.789
P1,player_core_uncertainty_below_display_gate,battle_20260723_230954_attacker_082_stormlands_fell_knight_t5,battle_20260723_230954,field,42,attacker,attacker,,Stormlands Fell Knight [T5],Stormlands Fell Knight [T5],stormlands_fell_knight_t5,survivors,3,4,0,3,0,1,0,1,0.834
P1,player_core_uncertainty_below_display_gate,battle_20260722_172406_attacker_010_hake_ae,battle_20260722_172406,field,15,attacker,attacker,Hake's Party,Hake ae,Hake ae,hake_ae,kills,2,106,1,5,0,0,0,1,0.636
P1,player_core_uncertainty_below_display_gate,battle_20260723_174229_defender_019_hake_ae,battle_20260723_174229,field,3,defender,defender,Hake's Party,Hake ae,Hake ae,hake_ae,survivors;kills,2,106,105,20,0,0,0,105,0.272
P1,player_core_uncertainty_below_display_gate,battle_20260723_104235_attacker_046_baratheon_footman_t2,battle_20260723_104235,field,23,attacker,attacker,TyrionLannister's Party,Baratheon Footman [T2],Baratheon Footman [T2],baratheon_footman_t2,kills;deaths,2,42,8,25,1,12,0,21,0.869
P1,player_core_uncertainty_below_display_gate,battle_20260723_111115_attacker_036_baratheon_footman_t2,battle_20260723_111115,siege_attack,25;26,attacker,attacker,,Baratheon Footman [T2],Baratheon Footman [T2],baratheon_footman_t2,kills,2,42,15,4,1,5,0,21,0.85
P1,player_core_uncertainty_below_display_gate,battle_20260723_132305_attacker_011_stone_crow_hunter_t3,battle_20260723_132305,siege_attack,30,attacker,attacker,,Stone Crow Hunter [T3],Stone Crow Hunter [T3],stone_crow_hunter_t3,kills,2,18,16,,0,0,0,16,0.925
P1,player_core_uncertainty_below_display_gate,battle_20260722_002116_attacker_004_reach_axeman_t5,battle_20260722_002116,field,53,attacker,attacker,Hake's Party,Reach Axeman [T5],Reach Axeman [T5],reach_axeman_t5,survivors,2,17,0,10,1,15,0,16,0.807
P1,player_core_uncertainty_below_display_gate,battle_20260718_013447_attacker_012_vlandian_voulgier,battle_20260718_013447,field,8,attacker,attacker,Faldrec's Party,Vlandian Voulgier,Vlandian Voulgier,vlandian_voulgier,survivors,2,11,0,0,0,5,0,5,0.693
P1,player_core_uncertainty_below_display_gate,battle_20260723_104235_attacker_050_hired_spear_t3,battle_20260723_104235,field,23,attacker,attacker,TyrionLannister's Party,Hired Spear [T3],Hired Spear [T3],hired_spear_t3,survivors,2,9,0,4,1,5,0,6,0.843
