priority_tier,priority_reason,observation_id,battle_id,battle_type,source_image_indices,side,player_side,parent_group,display_name_raw,display_name_normalized,canonical_name_slug,uncertain_core_fields,sample_battles,sample_deployed,survivors,kills,deaths,wounded,routed,deployed,ocr_confidence
P1,player_core_uncertainty_below_display_gate,battle_20260718_005538_defender_025_gorigos_the_boar_es,battle_20260718_005538,field,5,defender,defender,Faldrec's Party,Gorigos the Boar ES |,Gorigos the Boar ES,gorigos_the_boar_es,survivors,1,1,0,0,0,1,0,1,0.69
P1,player_core_uncertainty_below_display_gate,battle_20260721_233102_defender_023_i_ti_marksman_t5,battle_20260721_233102,field,52,defender,defender,Hake's Party,¥i Ti Marksman [T5],i Ti Marksman [T5],i_ti_marksman_t5,survivors,1,1,0,21,0,1,0,1,0.805
P1,player_core_uncertainty_below_display_gate,battle_20260721_233102_defender_025_free_folk_hawkeye_t5,battle_20260721_233102,field,52,defender,defender,Hake's Party,Free Folk Hawkeye [T5],Free Folk Hawkeye [T5],free_folk_hawkeye_t5,survivors,1,1,0,11,1,0,0,1,0.8
P1,player_core_uncertainty_below_display_gate,battle_20260721_233102_defender_026_yale_master_archer_t5,battle_20260721_233102,field,52,defender,defender,Hake's Party,Yale Master Archer [T5],Yale Master Archer [T5],yale_master_archer_t5,survivors,1,1,0,6,0,1,0,1,0.789
P1,player_core_uncertainty_below_display_gate,battle_20260722_002116_attacker_006_reach_house_guard_t5_vv,battle_20260722_002116,field,53,attacker,attacker,Hake's Party,Reach House Guard [T5] Vv,Reach House Guard [T5] Vv,reach_house_guard_t5_vv,survivors,1,1,0,6,1,0,0,1,0.763
P1,player_core_uncertainty_below_display_gate,battle_20260722_002116_attacker_013_dornish_cobra_cavalry_t5,battle_20260722_002116,field,53,attacker,attacker,Hake's Party,Dornish Cobra Cavalry [T5],Dornish Cobra Cavalry [T5],dornish_cobra_cavalry_t5,survivors,1,1,0,2,0,1,0,1,0.765
P1,player_core_uncertainty_below_display_gate,battle_20260723_104235_attacker_016_gendry_me,battle_20260723_104235,field,22,attacker,attacker,,Gendry mE,Gendry mE,gendry_me,survivors,1,1,0,0,0,1,0,1,0.507
P1,player_core_uncertainty_below_display_gate,battle_20260723_111115_attacker_044_tyrion_lannister,battle_20260723_111115,siege_attack,25,attacker,attacker,,Tyrion Lannister,Tyrion Lannister,tyrion_lannister,survivors,1,1,0,3,0,1,0,1,0.757
P1,player_core_uncertainty_below_display_gate,battle_20260723_111115_attacker_046_hired_crossbow_t4,battle_20260723_111115,siege_attack,25,attacker,attacker,,Hired Crossbow [T4],Hired Crossbow [T4],hired_crossbow_t4,survivors,1,1,0,2,0,1,0,1,0.833
P1,player_core_uncertainty_below_display_gate,battle_20260723_151353_defender_019_hake,battle_20260723_151353,field,34,defender,defender,Hake's Party,Hake & |,Hake &,hake,kills,1,1,1,2,0,0,0,1,0.746
P1,player_core_uncertainty_below_display_gate,battle_20260723_151353_defender_023_benjen_stark_wsad_space_z,battle_20260723_151353,field,34,defender,defender,Hake's Party,Benjen Stark WSAD Space z,Benjen Stark WSAD Space z,benjen_stark_wsad_space_z,kills,1,1,1,,0,0,0,1,0.918
P1,player_core_uncertainty_below_display_gate,battle_20260723_230954_attacker_015_robin_celtigar_ee,battle_20260723_230954,field,39,attacker,attacker,,Robin Celtigar ee,Robin Celtigar ee,robin_celtigar_ee,kills,1,1,1,0,0,0,0,1,0.798
P1,player_core_uncertainty_below_display_gate,battle_20260723_234233_attacker_014_robin_celtigar_ain,battle_20260723_234233,siege_attack,44;45,attacker,attacker,Hake's Party,Robin Celtigar ain,Robin Celtigar ain,robin_celtigar_ain,survivors,1,1,0,0,0,1,0,1,0.618
P1,player_core_uncertainty_below_display_gate,battle_20260724_011947_defender_025_celtigar_halberdier_t5_le_ae,battle_20260724_011947,siege_defense,48,defender,defender,Hake's Party,Celtigar Halberdier [T5] Le ae,Celtigar Halberdier [T5] Le ae,celtigar_halberdier_t5_le_ae,survivors,1,1,0,6,1,0,0,1,0.613
