troop_id,name,evidence_kind,coverage_scope,reported_full_audit_rows,source_pr,source_method,reported_full_audit_sha256
mounted_kingsguard,Captain of the Kingsguard,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
celtigar_banneret,Celtigar Banneret,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
baratheon_pikeknight,Baratheon Hammerknight,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name_preserved,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
garden_sentinel,Water Gardens Sentinel,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
dragonstone_steel_curtain,Queen's Man,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
stormlands_crusher,Stormlands Elite Maceman,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
dragonstone_headsman,Dragonstone Elite Halberdier,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name_preserved,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
reach_flower_knight,Reach Flower Knight,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
dragonstone_elite_archer,Dragonstone Elite Archer,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
river_ranger,Riverlands Ranger,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
reach_master_archer,Reach Master Archer,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
reach_knight,Reach Horseman,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
stormlands_heavy_crossbowman,Stormlands Heavy Crossbowman,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
dragonstone_houseguard,Dragonstone House Guard,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
reach_houseguard,Reach House Guard,historical_pr_reported_exact,sparse_published_exact_matches,6187,https://github.com/andrerferrer/bannerlord-troop-analysis/pull/20,unique_exact_normalized_display_name,88cc5ab6c3f9a0cb0164e36a1df8a8887e6cdc900ccf7b5c718c2c522861c903
