troop_id,troop_name,roster_index,armor_total,survivability_armor_v71,shield_hp,shield_armor,has_shield,has_horse,harness_armor,horse_extra_health,horse_speed,horse_maneuver,horse_charge_damage_audit_only,horse_charge_damage_max_audit_only,horse_item_ids_audit_only,shield_probability,horse_probability,mount_evidence_status,unresolved_mount_evidence,unresolved_item_evidence
angry_wight,Angry Wight,0,14.000000,0.700000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,resolved,,<missing-item-id>:Body:item_found|<missing-item-id>:Head:item_found
arryn_archer,Arryn Archer,0,99.000000,27.950000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,resolved,,
arryn_footman,Arryn Footman,0,80.000000,21.300000,305.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000,resolved,,
arryn_horseman,Arryn Horseman,0,125.000000,41.350000,370.000000,1.000000,true,true,45.000000,10.000000,53.000000,55.000000,20.000000,20.000000,empire_horse,1.000000,1.000000,resolved,,
arryn_houseguard,Arryn House Guard,0,175.000000,52.350000,370.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000,resolved,,
arryn_knight,Arryn Knight,0,188.000000,54.300000,370.000000,1.000000,true,true,75.000000,40.000000,58.000000,58.000000,30.000000,30.000000,t2_vlandia_horse,1.000000,1.000000,resolved,,
arryn_levy,Arryn Levy,0,69.000000,17.450000,280.000000,8.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000,resolved,,
arryn_man_at_arms,Arryn Man at Arms,0,125.000000,41.350000,370.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000,resolved,,
arryn_master_archer,Arryn Master Archer,0,119.000000,35.450000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,resolved,,
arryn_moonknight,Arryn Winged Knight,0,221.000000,65.450000,370.000000,1.000000,true,true,75.000000,20.000000,61.000000,66.000000,28.000000,28.000000,t3_empire_horse,1.000000,1.000000,resolved,,
arryn_moonknight,Arryn Winged Knight,1,221.000000,65.450000,370.000000,1.000000,true,true,75.000000,20.000000,61.000000,66.000000,28.000000,28.000000,t3_empire_horse,1.000000,1.000000,resolved,,
arryn_recruit,Arryn Recruit,0,41.000000,9.550000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,resolved,,
arryn_rider,Arryn Rider,0,105.000000,30.350000,370.000000,1.000000,true,true,18.000000,10.000000,53.000000,55.000000,20.000000,20.000000,empire_horse,1.000000,1.000000,resolved,,
baratheon_archer,Baratheon Archer,0,98.000000,26.700000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,resolved,,
baratheon_bowman,Baratheon Bowman,0,83.000000,25.950000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,resolved,,
baratheon_footman,Baratheon Footman,0,83.000000,25.950000,220.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000,resolved,,
baratheon_hammer,Baratheon Hammerman,0,139.000000,48.050000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,resolved,,
baratheon_horseman,Baratheon Horseman,0,149.000000,41.350000,370.000000,1.000000,true,true,45.000000,10.000000,53.000000,61.000000,22.000000,22.000000,vlandia_horse,1.000000,1.000000,resolved,,
baratheon_horseman,Baratheon Horseman,1,149.000000,41.350000,370.000000,1.000000,true,true,45.000000,10.000000,53.000000,61.000000,22.000000,22.000000,vlandia_horse,1.000000,1.000000,resolved,,
baratheon_houseguard,Baratheon House Guard,0,174.000000,51.300000,370.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000,resolved,,
baratheon_houseguard,Baratheon House Guard,1,174.000000,51.300000,370.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000,resolved,,
baratheon_knight,Baratheon Knight,0,174.000000,51.300000,370.000000,1.000000,true,true,75.000000,40.000000,58.000000,58.000000,30.000000,30.000000,t2_vlandia_horse,1.000000,1.000000,resolved,,
baratheon_knight,Baratheon Knight,1,180.000000,54.600000,370.000000,1.000000,true,true,75.000000,40.000000,58.000000,58.000000,30.000000,30.000000,t2_vlandia_horse,1.000000,1.000000,resolved,,
baratheon_longbowman,Baratheon Longbowman,0,127.000000,34.150000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,resolved,,
