artifact_path,sha256,size_bytes
analysis/ANALYSIS_REPORT.md,0fb51904ea59bef315d14f2c019010c06c524336c18aa98c5a15811d482dbce0,3444
analysis/MECHANICAL_SIGNATURE.md,c410425157d3840cb3543cda7da556c7a092210c9ab41aef0453e396f82c7639,2696
analysis/README.md,4e436961acc5cb1c8bc829dea3a5ff05a327cc0d15bb03540cbe32971f140a65,940
analysis/candidate_similarity.csv,d98834bca2ae05abe53ed77e6d7ccdb142859b2b5a8ada14c8881dffcd4dc4e9,1272
analysis/canonical_identity_audit.csv,a20410ad0892772b7353bad3e245588653d7177ced02530602b487b7724db846,15689
analysis/combined_battle_provenance.csv,4ed0fe13c87a1ede6db97be01a495815d03c78b0d47d8be4c9161deba8af88de,2215
analysis/compatibility_decision.json,403000f51d27d13c401e4d2cc6ede0959b31f20a4a8285c054e8ca55daa9efd3,2631
analysis/context_coverage.csv,5107694ca11fdd10bd687c34b029c4d8d8130e74399a06914948b39bd0e6642f,212
analysis/focus_battle_rates.csv,01be2f6744e6cfd7c4e34bb8fb6e2ab5bdaae6b505d3e304192fdea587f4a378,2716
analysis/focus_compatible_comparison.csv,1787fd8741d409434860339137f0bb95b02b9d2ad9d9e430572f3d2e2efbc4ef,1460
analysis/focus_troop_contexts.csv,72cf55873b654815fa11d227b5142e14a04e76d4d1e61e58628ff1c49c49217c,1232
analysis/input_verification.json,996af759c3a77b618cac965767c2ba3967034fce495085141b9cb7f227ffbf33,5596
analysis/insufficient_evidence.csv,5317ef5dc6f4157d886aa2730980820b8c2b5cc50a4b6c60f61bbf7ef511dedf,9928
analysis/mechanical_signature.csv,8a6aaeb086a50f7b15bcb286137dc7bda1bfa990d3b5b421a04dbfbe258355be,2064
analysis/ranking_complete.csv,5317ef5dc6f4157d886aa2730980820b8c2b5cc50a4b6c60f61bbf7ef511dedf,9928
analysis/ranking_reliable.csv,80877404da04328104b3554a1e5cdac6d07654638698e600cc45198340eb7269,227
analysis/source_inventory_verification.json,64573da0463d976f8c2e4aa12083625eb20acc1b7d5a56924139430fb29cbd0a,10899
analysis/validation_report.json,2dcccfea43d012b9c0b5d834df4ff77dddaa25590e0e65c3bc922e8b6bcba4b2,2890
review/README.md,eb7f4e325bcf438fd996e730b01129e5ee3a6ba952edfa2ffce2eb2363c683b4,399
review/review_decisions.csv,dcb4349f81fe3bc0df723be208faa8e12331ec29e61bfc6f6c4827eaa6358abe,8471
