context,rank,display_name_normalized,battle_count,deployed,kills,survivors,deaths,wounded,routed,kills_per_deployed,casualty_rate,meets_display_gate
overall,1,northern_winter_champion,5,34,148,22,6,6,0,4.352941,0.352941,True
overall,2,ravens_teeth,10,184,656,148,8,28,0,3.565217,0.195652,True
overall,3,mallister_elite_archer,10,331,373,268,21,42,0,1.126888,0.190332,True
overall,4,westerlands_banner_knight,7,58,55,51,2,5,0,0.948276,0.12069,True
overall,5,riverlands_ranger,10,394,368,327,17,50,0,0.93401,0.170051,True
overall,6,northern_mounted_warlord,7,44,41,40,0,4,0,0.931818,0.090909,True
overall,7,blackwood_horseman,5,34,29,24,2,8,0,0.852941,0.294118,True
overall,8,mallister_eagle_knight,10,135,90,109,6,20,0,0.666667,0.192593,True
overall,9,mallister_house_guard,10,147,96,132,6,9,0,0.653061,0.102041,True
overall,10,blackwood_house_guard,10,190,113,155,6,29,0,0.594737,0.184211,True
overall,11,northern_horseman,5,43,23,37,3,3,0,0.534884,0.139535,True
siege_attack,1,ravens_teeth,5,88,337,52,8,28,0,3.829545,0.409091,True
siege_attack,2,mallister_elite_archer,5,164,159,107,19,38,0,0.969512,0.347561,True
siege_attack,3,riverlands_ranger,5,175,143,116,16,43,0,0.817143,0.337143,True
siege_attack,4,blackwood_house_guard,5,98,76,70,5,23,0,0.77551,0.285714,True
siege_attack,5,mallister_house_guard,5,68,47,56,4,8,0,0.691176,0.176471,True
siege_attack,6,mallister_eagle_knight,5,67,38,53,4,10,0,0.567164,0.208955,True
