item_id,item_kind,type,crafting_template,name,culture,source_xml,winner_module,load_order_rank
Broad_Skaen,CraftedItem,CraftedWeapon,Dagger,Broad Skaen,battania,NightmareSailsxDTAB/ModuleData/sandboxcore_weapons.xml,NightmareSailsxDTAB,5
a_aserai_scale_b_shoulder_a,Item,Cape,,Scale Shoulder Guards,aserai,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_aserai_scale_b_shoulder_b,Item,Cape,,Scale Pauldrons,aserai,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_aserai_scale_b_shoulder_c,Item,Cape,,Bronze Scale Shoulder Guards,aserai,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_aserai_scale_b_shoulder_d,Item,Cape,,Bronze Scale Pauldrons,aserai,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_aserai_scale_b_shoulder_e,Item,Cape,,Reinforced Bronze Scale Shoulder Guards,aserai,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_battania_cloak_a,Item,Cape,,Simple Cape,battania,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_brass_lamellar_shoulder_a,Item,Cape,,Bronze Lamellar Shoulder Guards,khuzait,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_brass_lamellar_shoulder_b,Item,Cape,,Reinforced Bronze Lamellar Shoulder Guards,khuzait,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_brass_lamellar_shoulder_white_a,Item,Cape,,Lamellar Shoulder Guards,sturgia,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_brass_lamellar_shoulder_white_b,Item,Cape,,Reinforced Lamellar Shoulder Guards,sturgia,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_empire_plated_shoulder_a,Item,Cape,,Legionary Studded Harness,empire,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_empire_plated_shoulder_b,Item,Cape,,Lamellar Pauldrons,empire,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_khuzait_leather_shoulder_b_a,Item,Cape,,Cured Studded Leather Shoulders,khuzait,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_khuzait_leather_shoulder_b_b,Item,Cape,,Reinforced Studded Neckguard,khuzait,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_leather_lamellar_armor_shoulder_a,Item,Cape,,Decorated Lamellar Leather Shoulder Guards,khuzait,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_metal_lamellar_armor_shoulder_a,Item,Cape,,Decorated Steel Lamellar Shoulder Pieces,khuzait,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_pauldron_cape_b,Item,Cape,,Bronze Pauldrons with Neck Guard,empire,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
a_pauldron_cape_c,Item,Cape,,Bronze Pauldrons,empire,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
adarga,Item,Shield,,Adarga,aserai,NightmareSailsxDTAB/ModuleData/sandboxcore_shields.xml,NightmareSailsxDTAB,5
aketon,Item,BodyArmor,,Aketon,vlandia,NightmareSailsxDTAB/ModuleData/sandboxcore_body_armors.xml,NightmareSailsxDTAB,5
ambassador_sword_t3,CraftedItem,CraftedWeapon,OneHandedSword,The Ambassador,,NightmareSailsxDTAB/ModuleData/sandboxcore_weapons.xml,NightmareSailsxDTAB,5
archers_flag_t1,Item,Banner,,Archer's Flag,neutral_culture,NightmareSailsxDTAB/ModuleData/sandboxcore_banners.xml,NightmareSailsxDTAB,5
arming_cap,Item,HeadArmor,,Padded Coif,vlandia,NightmareSailsxDTAB/ModuleData/sandboxcore_head_armors.xml,NightmareSailsxDTAB,5
arming_coif,Item,HeadArmor,,Leather Coif,vlandia,NightmareSailsxDTAB/ModuleData/sandboxcore_head_armors.xml,NightmareSailsxDTAB,5
armored_baggy_trunks,Item,BodyArmor,,Armored Baggy Trunks,battania,NightmareSailsxDTAB/ModuleData/sandboxcore_body_armors.xml,NightmareSailsxDTAB,5
armored_bearskin,Item,Cape,,Armored Bearskin,battania,NightmareSailsxDTAB/ModuleData/sandboxcore_shoulder_armors.xml,NightmareSailsxDTAB,5
armwraps,Item,HandArmor,,Armwraps,battania,NightmareSailsxDTAB/ModuleData/sandboxcore_arm_armors.xml,NightmareSailsxDTAB,5
arrow_emp_1_a,Item,Arrows,,Imperial Arrows,empire,NightmareSailsxDTAB/ModuleData/sandboxcore_weapons.xml,NightmareSailsxDTAB,5
aser_battle_axe_3_t4,CraftedItem,CraftedWeapon,OneHandedAxe,Southern Sailor Axe,aserai,NightmareSailsxDTAB/ModuleData/naval_weapons.xml,NightmareSailsxDTAB,5
aser_battle_axe_4_t4,CraftedItem,CraftedWeapon,OneHandedAxe,Southern Boatswain Axe,aserai,NightmareSailsxDTAB/ModuleData/naval_weapons.xml,NightmareSailsxDTAB,5
aser_mace_4_t5,CraftedItem,CraftedWeapon,Mace,Warden Mace,aserai,NightmareSailsxDTAB/ModuleData/sandboxcore_weapons.xml,NightmareSailsxDTAB,5
aserai_2haxe_1_t3,CraftedItem,CraftedWeapon,TwoHandedAxe,Short Handled Tabar,aserai,SandBoxCore/ModuleData/items/weapons.xml,SandBoxCore,2
aserai_2haxe_2_t3,CraftedItem,CraftedWeapon,TwoHandedAxe,Bardiche,sturgia,NightmareSailsxDTAB/ModuleData/sandboxcore_weapons.xml,NightmareSailsxDTAB,5
aserai_2haxe_2_t4,CraftedItem,CraftedWeapon,TwoHandedAxe,Mamluke Doublesided Greataxe,aserai,NightmareSailsxDTAB/ModuleData/sandboxcore_weapons.xml,NightmareSailsxDTAB,5
