batch,source_file,screenshot_id,image_file,image_sha256,captured_at,battle_id,screen_status,included_in_primary,decision,representative_or_prior,same_battle_group,visual_audit_status,reason
2026-07-27-normalized-only,screenshots_manifest.csv,screen_26_07_2026_22_28_43,26_07_2026_22_28_43.png,810ac8f1b4fb39d54714c83e4f895d7c2c47e6d35df46c4ccb23af266a8cff6b,2026-07-26T22:28:43-03:00,battle_20260726_222851_banefort,active_scoreboard_excluded,False,skip_nonfinal_or_superseded,,True,documented_existing_decision,active_scoreboard_excluded
2026-07-27-normalized-only,screenshots_manifest.csv,screen_26_07_2026_22_28_51,26_07_2026_22_28_51.png,2ac1b23d409148d3dfffe503f07e6b74e602871c15d387081e3b4a45c66b8e01,2026-07-26T22:28:51-03:00,battle_20260726_222851_banefort,final_result,True,keep_grouped_pending_visual_representative_audit,battle_20260726_222851_banefort,True,blocked_raw_screenshot_not_retained,"Multiple primary screens share one battle ID, so independence is preserved; raw pixels are unavailable here to choose representative versus supplemental."
2026-07-27-normalized-only,screenshots_manifest.csv,screen_26_07_2026_22_29_00,26_07_2026_22_29_00.png,39175f125746a0ccd02cfbd8e2e5f6662739a061cbc8c21cb65508fbe13cfd17,2026-07-26T22:29:00-03:00,battle_20260726_222851_banefort,final_result,True,keep_grouped_pending_visual_representative_audit,battle_20260726_222851_banefort,True,blocked_raw_screenshot_not_retained,"Multiple primary screens share one battle ID, so independence is preserved; raw pixels are unavailable here to choose representative versus supplemental."
2026-07-27-normalized-only,screenshots_manifest.csv,screen_26_07_2026_23_26_19,26_07_2026_23_26_19.png,dcab209c565b9acb68cb65a9290b9740c4c466bd17eb8b87a540bb391d7f02f1,2026-07-26T23:26:19-03:00,battle_20260726_232619_farman,final_result,True,keep_existing_representative,screen_26_07_2026_23_26_19,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-27-normalized-only,screenshots_manifest.csv,screen_26_07_2026_23_35_35,26_07_2026_23_35_35.png,2048b683bc08229f4f9cdf907fa5ac7ead2b27692bf14e8a1262203f2af6dc94,2026-07-26T23:35:35-03:00,battle_20260726_233535_lorch_lannister,final_result,True,keep_existing_representative,screen_26_07_2026_23_35_35,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-27-normalized-only,screenshots_manifest.csv,screen_26_07_2026_23_48_09,26_07_2026_23_48_09.png,558d05aab4f73330dad16550f1372f19a8d1134fc28774f2570dc2d8341a7cbf,2026-07-26T23:48:09-03:00,battle_20260726_234809_the_crag,final_result,True,keep_existing_representative,screen_26_07_2026_23_48_09,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-27-normalized-only,screenshots_manifest.csv,screen_26_07_2026_23_56_58,26_07_2026_23_56_58.png,5745e967b1d52a062613ebf5035e5640a9bfbf3bb84c08b9b96cde67bb4d1e4f,2026-07-26T23:56:58-03:00,battle_20260726_235658_kenning,final_result,True,keep_existing_representative,screen_26_07_2026_23_56_58,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-27-normalized-only,screenshots_manifest.csv,screen_27_07_2026_00_11_25,27_07_2026_00_11_25.png,8c4a329c915a89324d2bdb49e2a1c2667aa8a4296f4fd067665e6869fe96a346,2026-07-27T00:11:25-03:00,battle_20260727_001125_faircastle,final_result,True,keep_existing_representative,screen_27_07_2026_00_11_25,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-27-normalized-only,screenshots_manifest.csv,screen_27_07_2026_00_32_37,27_07_2026_00_32_37.png,d1b7f1afed293394d67259a1b62d675890146103ddad85ae098fd2ab1d2a3215,2026-07-27T00:32:37-03:00,battle_20260727_003346_the_crag_defense,final_result,True,keep_grouped_pending_visual_representative_audit,battle_20260727_003346_the_crag_defense,True,blocked_raw_screenshot_not_retained,"Multiple primary screens share one battle ID, so independence is preserved; raw pixels are unavailable here to choose representative versus supplemental."
2026-07-27-normalized-only,screenshots_manifest.csv,screen_27_07_2026_00_33_46,27_07_2026_00_33_46.png,e39bdbb6f957f83c6376632906f18ed9ee721ab6573503f0f6a16f9203923c76,2026-07-27T00:33:46-03:00,battle_20260727_003346_the_crag_defense,final_result,True,keep_grouped_pending_visual_representative_audit,battle_20260727_003346_the_crag_defense,True,blocked_raw_screenshot_not_retained,"Multiple primary screens share one battle ID, so independence is preserved; raw pixels are unavailable here to choose representative versus supplemental."
2026-07-27-normalized-only,screenshots_manifest.csv,screen_27_07_2026_00_43_50,27_07_2026_00_43_50.png,7b8231cdb117a28e2663a004161538ea6935c2587f9acea376820c62bd5cf1be,2026-07-27T00:43:50-03:00,battle_20260727_004350_westerling,final_result,True,keep_existing_representative,screen_27_07_2026_00_43_50,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-27-normalized-only,screenshots_manifest.csv,screen_27_07_2026_00_53_22,27_07_2026_00_53_22.png,4f37dc41dcdc7534caf93cae89d9cd9fcfcc58fb343ebe136a3f65db2eb53122,2026-07-27T00:53:22-03:00,battle_20260727_005322_banefort,final_result,True,keep_existing_representative,screen_27_07_2026_00_53_22,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-27-normalized-only,screenshots_manifest.csv,screen_27_07_2026_01_05_41,27_07_2026_01_05_41.png,ac8e6b8162f4a2831d398b8a95de411e36817cd90f6077a3953b592390916aec,2026-07-27T01:05:41-03:00,battle_20260727_010541_kayce,final_result,True,keep_existing_representative,screen_27_07_2026_01_05_41,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-27-rot-field-followup,screenshots_manifest.csv,screen_b01_20260727_103534,Mount and Blade II Bannerlord - Singleplayer PID_ 6076 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 27_07_2026 10_35_34.png,14c5006868426135a1dda91bca33e87e4d9776a9f7ec92874153677a26f3f5e4,2026-07-27T10:35:34-03:00,B01,final_result,True,keep_existing_representative,screen_b01_20260727_103534,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-27-rot-field-followup,screenshots_manifest.csv,screen_b02_20260727_104834,Mount and Blade II Bannerlord - Singleplayer PID_ 6076 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 27_07_2026 10_48_34.png,08acd520e1d9e22307556dad538db338a2d810bc2429e9d6eaa1b462a0bf2ee2,2026-07-27T10:48:34-03:00,B02,final_result,True,keep_existing_representative,screen_b02_20260727_104834,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-28-to-29-nightmare-sails-field,screenshots_manifest.csv,screen_b03_20260728_183356,Mount and Blade II Bannerlord - Singleplayer PID_ 13976 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 28_07_2026 18_33_56.png,cc85115ec0219cbb7b8f68eb23bd9cb2ef27b18af621feebbb7319a374dd2e2d,2026-07-28T18:33:56-03:00,B03,final_result,True,keep_existing_representative,screen_b03_20260728_183356,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-28-to-29-nightmare-sails-field,screenshots_manifest.csv,screen_b04_20260728_235347,Mount and Blade II Bannerlord - Singleplayer PID_ 13976 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 28_07_2026 23_53_47.png,f5f4303ce6c03fb49c8a0c76e2630e55d58dccccf9f90b7b4e5b2b60f3a289ce,2026-07-28T23:53:47-03:00,B04,final_result,True,keep_existing_representative,screen_b04_20260728_235347,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-28-to-29-nightmare-sails-field,screenshots_manifest.csv,screen_b05_20260729_012541,Mount and Blade II Bannerlord - Singleplayer PID_ 13976 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_07_2026 01_25_41.png,a31eb1d36ecb02fa9774d44be27c5add3edff95c321c4e26ad2b723ac1ac97ab,2026-07-29T01:25:41-03:00,B05,final_result,True,keep_existing_representative,screen_b05_20260729_012541,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-28-to-29-nightmare-sails-field,screenshots_manifest.csv,screen_b06_20260729_013307,Mount and Blade II Bannerlord - Singleplayer PID_ 13976 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_07_2026 01_33_07.png,b882e43b7988e031e2d70b270eac22095dc33d19fd01ed623cc547ecb0a3f7aa,2026-07-29T01:33:07-03:00,B06,final_result,True,keep_existing_representative,screen_b06_20260729_013307,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-28-to-29-nightmare-sails-field,screenshots_manifest.csv,screen_b07_20260729_013605,Mount and Blade II Bannerlord - Singleplayer PID_ 13976 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_07_2026 01_36_05.png,45ff2413dfa8f69d5722044a39c158494faa9238767a2647e6692d69244e9add,2026-07-29T01:36:05-03:00,B07,final_result,True,keep_existing_representative,screen_b07_20260729_013605,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-28-to-29-nightmare-sails-field,screenshots_manifest.csv,screen_b08_20260729_013823,Mount and Blade II Bannerlord - Singleplayer PID_ 13976 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_07_2026 01_38_23.png,6d62f315ada1b8297668184ac41622094be861790e54169960b79b3a1a9a1aa2,2026-07-29T01:38:23-03:00,B08,final_result,True,keep_existing_representative,screen_b08_20260729_013823,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
2026-07-28-to-29-nightmare-sails-field,screenshots_manifest.csv,screen_b09_20260729_014232,Mount and Blade II Bannerlord - Singleplayer PID_ 13976 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_07_2026 01_42_32.png,93a16887b7a93ad5871e6f06c377c59b80f9f016cd6b2206eb91b69d6e90df9d,2026-07-29T01:42:32-03:00,B09,final_result,True,keep_existing_representative,screen_b09_20260729_014232,True,manifest_only_no_new_visual_claim,Single committed primary screen for this battle.
