file,size_bytes,sha256
analysis/ANALYSIS_REPORT.md,1941,b072ed3c0a6050888f8de4196fa2df0e2ec8e5e81628df749c3ce25664fd5703
analysis/README.md,152,87c59caf8277d161632ff49e2921dff110191ce42b05c2f1ae68c1442b5d2c73
analysis/candidate_evidence_comparison.csv,553,387871f8c4144d841c76a95ba2c029c27ad018a4e62c190038ac572307c2dead
analysis/canonical_identity_audit.csv,1699,c257e2321e4c0ec4d5d1bd02ab175dcbb825d7a7331b5e79d165e120e53e694a
analysis/focus_battle_rates.csv,1806,df58cb66b699900ad74452b4d43071cf40986991aed75bb303294369c0d02145
analysis/insufficient_evidence.csv,2512,55d268ae36ac1dc5f8e435a77a735fb426e5dcd09510548cacc402828db7209b
analysis/pressure_margin.csv,927,c2b5888e4678b96cc5a2d63f2bb578d9d7e823c295eccc766e8458a519bda697
analysis/ranking_complete.csv,2512,55d268ae36ac1dc5f8e435a77a735fb426e5dcd09510548cacc402828db7209b
analysis/ranking_reliable.csv,337,66c7bb032b069f16ee134969398fe0ea704d950e23d500bfc385fba95cf2edd0
analysis/validation_report.json,553,82faf63e20b91d34788521b59c14e1ac6349dfd2d48e7a9ceea97ae099b1ee34
review/README.md,116,bedc1cb9fa4c0b1b504bf1a00a6be3412a4146c6fe52fa2d5a9ffe22c4075d5e
review/review_decisions.csv,1225,61b67221827a3d8a791f31bdbf20ffa602c4b93458c212726dd2d0ebcba5fb11
