troop_id,troop_name,level,upgrade_depth,line_status,culture,default_group,has_bow,has_crossbow,has_ranged,has_shield,has_horse,has_throwing,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item,primary_category,score_status,evidence_basis,empirical
imladris_horse_archer,[Rivendell] Imladris Horse Archer,41.0,5.0,main_or_minor_line,rivendell,HorseArcher,True,False,True,False,True,False,99.12431506082699,61.06095152721209,100.0,,61.7577028118629,99.31472081218274,100.0,0.0,280.42857142857144,63.535714285714285,120.0,0.0,highelf_longbowc|highelf_longbowd,he_sword,TwoHandedSword,,,Ranged Troops,role_scores_v1_conservative_not_final,xml_structural,false
gondor_arn_hill_knight,[Gondor] Arndir Hill-Knight,41.0,6.0,main_or_minor_line,gondor,Cavalry,False,False,False,False,True,False,,47.58609205876056,97.76352814371239,,45.35042504904411,0.0,100.0,0.0,157.0,48.85,0.0,0.0,,numenorean_sword_2h_l,TwoHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
gondor_arn_knight,[Gondor] Arndir Knight,31.0,4.0,main_or_minor_line,gondor,Cavalry,False,False,False,False,True,False,,47.58609205876056,97.76352814371239,,45.35042504904411,0.0,100.0,0.0,157.0,48.85,0.0,0.0,,numenorean_sword_2h_f,TwoHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
gondor_arn_vet_knight,[Gondor] Arndir Veteran Knight,36.0,5.0,main_or_minor_line,gondor,Cavalry,False,False,False,False,True,False,,47.58609205876056,97.76352814371239,,45.35042504904411,0.0,100.0,0.0,157.0,48.85,0.0,0.0,,numenorean_sword_2h_i,TwoHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
imladris_blademaster,[Rivendell] Imladris Blademaster,41.0,5.0,main_or_minor_line,rivendell,Infantry,False,False,False,False,False,False,,,93.81646442801033,,48.66601740760297,0.0,100.0,0.0,325.8181818181818,72.29545454545455,0.0,0.0,,he_sword,TwoHandedSword,,,Offensive Melee,role_scores_v1_conservative_not_final,xml_structural,false
imladris_marchwarden,[Rivendell] Imladris Marchwarden,41.0,5.0,main_or_minor_line,rivendell,Ranged,True,False,True,False,False,False,76.50416136793929,,92.5734085434592,,43.965409470323486,99.31472081218274,100.0,0.0,306.5,65.3125,120.0,0.0,highelf_longbowc|highelf_longbowd,he_sword,TwoHandedSword,,,Ranged Troops,role_scores_v1_conservative_not_final,xml_structural,false
urukhai_nazg_hai,[Isengard] Uruk-Hai Nazg-hai,36.0,7.0,main_or_minor_line,isengard,Infantry,False,False,False,False,False,False,,,92.39766615978128,,43.21652498365195,0.0,100.0,0.0,225.0,64.2,0.0,0.0,,isengard_berserker_sword_2h,TwoHandedSword,,,Offensive Melee,role_scores_v1_conservative_not_final,xml_structural,false
mordor_uruk_captain,[Mordor] Black Uruk Captain,36.0,6.0,main_or_minor_line,mordor,Infantry,False,False,False,True,False,False,,51.163085700239414,92.20183893225445,,41.67884755933376,0.0,100.0,0.0,185.0,50.75,0.0,0.0,,isengard_berserker_sword_2h|sm_uruk_sword_a|sm_uruk_sword_b|sm_uruk_sword_i,OneHandedSword|TwoHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
gondor_da_swan_guard,[Gondor] Dol Amroth Swan Guard,41.0,6.0,main_or_minor_line,gondor,Infantry,False,False,False,True,False,False,,49.82752388539858,91.98017083855616,,39.938262107166196,0.0,100.0,0.0,157.0,48.85,0.0,0.0,,numenorean_sword_2h_b|wm_gondor_gondorknight_spearb|wm_gondor_pg_spearb,TwoHandedPolearm|TwoHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
gondor_da_foot_knight,[Gondor] Dol Amroth Foot Knight,36.0,5.0,main_or_minor_line,gondor,Infantry,False,False,False,True,False,False,,49.82752388539858,91.98017083855616,,39.938262107166196,0.0,100.0,0.0,157.0,48.85,0.0,0.0,,numenorean_sword_2h_a|wm_gondor_gondorknight_spearb|wm_gondor_pg_spearb,TwoHandedPolearm|TwoHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
rivendell_gondolin_battlemaster,[Rivendell] Megil-Aran Elenath,51.0,2.0,main_or_minor_line,rivendell,Infantry,False,False,False,True,False,False,,53.69825949599973,91.28320226328714,,44.174327807054645,0.0,100.0,0.0,205.0,51.199999999999996,0.0,0.0,,wm_gf_knight_broadsword|wm_gf_knight_longsword,OneHandedSword|TwoHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
gondor_ith_captain,[Gondor] Ithil Guard Captain,41.0,4.0,main_or_minor_line,gondor,Infantry,False,False,False,True,False,False,,46.90017607051435,91.15032387562823,,35.67110307599594,0.0,100.0,0.0,165.0,49.65,0.0,0.0,,wm_gondor_lamedon_2h_sword_e|wm_gondor_swanknight_speara|wm_gondor_sword_a10,OneHandedSword|TwoHandedPolearm|TwoHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
gondor_cal_vale_knight,[Gondor] Calembel Vale-Knight,41.0,5.0,main_or_minor_line,gondor,Infantry,False,False,False,False,False,False,,,91.08174148199782,,32.883601954071615,0.0,100.0,0.0,157.0,48.85,0.0,0.0,,wm_gondor_lamedon_2h_sword_c,TwoHandedSword,,,Offensive Melee,role_scores_v1_conservative_not_final,xml_structural,false
gondor_cal_sergeant,[Gondor] Calembel Sergeant,36.0,4.0,main_or_minor_line,gondor,Infantry,False,False,False,False,False,False,,,91.08174148199782,,32.883601954071615,0.0,100.0,0.0,157.0,48.85,0.0,0.0,,wm_gondor_lamedon_2h_sword_c,TwoHandedSword,,,Offensive Melee,role_scores_v1_conservative_not_final,xml_structural,false
gondor_cal_heavy_swordsman,[Gondor] Calembel Heavy Swordsman,31.0,3.0,main_or_minor_line,gondor,Infantry,False,False,False,False,False,False,,,91.08174148199782,,32.883601954071615,0.0,100.0,0.0,157.0,48.85,0.0,0.0,,wm_gondor_lamedon_2h_sword_b,TwoHandedSword,,,Offensive Melee,role_scores_v1_conservative_not_final,xml_structural,false
