rank,tier,troop_name,troop_id,ranged_role_score,ranged_score_base,ranged_damage,ranged_item,Bow,ranged_skill_factor,armor_total,has_shield,culture,level,n_rosters,line_status
1,S,[Rivendell] Imladris Marchwarden,imladris_marchwarden,74.53,96.98,118.12,highelf_longbowc|highelf_longbowd,320.0,1.15,306.5,False,rivendell,41.0,8,main_or_minor_line
2,S,[Rivendell] Imladris Marksman,imladris_marksman,73.64,96.33,117.6,highelf_longbowc|highelf_longbowd,285.0,1.15,315.0,False,rivendell,36.0,15,main_or_minor_line
3,S,[Rivendell] Imladris Archer,imladris_archer,71.13,96.98,118.12,highelf_longbowc|highelf_longbowd,245.0,1.11,244.0,False,rivendell,31.0,8,main_or_minor_line
4,S,[Mirkwood] Silvan Borderwarden,mirkwood_borderwardens,68.36,91.07,104.0,wm_mirkwood_bow_a01,350.0,1.15,246.0,False,mirkwood,46.0,1,main_or_minor_line
5,S,[Mirkwood] Thingol's Heirs,mirkwood_thingolheir,68.36,91.07,104.0,wm_mirkwood_bow_a01,370.0,1.15,246.0,False,mirkwood,51.0,1,main_or_minor_line
6,S,[Gondor] Lond-Galen Haven Guard,gondor_lg_haven_guard,68.03,88.25,102.0,wm_ithilien_bow_b,280.0,1.15,157.0,True,gondor,41.0,1,main_or_minor_line
7,S,[Mirkwood] Silvan Sentinels,mirkwood_sentinels,67.82,91.07,104.0,wm_mirkwood_bow_a01,330.0,1.15,230.0,False,mirkwood,41.0,1,main_or_minor_line
8,A,[Gondor] Citadel Guard Sharpshooter,gondor_mt_sharpshooter,64.72,88.25,102.0,wm_ithilien_bow_b,280.0,1.15,159.0,False,gondor,41.0,1,main_or_minor_line
9,A,[Gondor] Blackroot Vale Shadowbow,gondor_brv_shadowbow,64.71,88.25,102.0,wm_ithilien_bow_b,280.0,1.15,157.0,False,gondor,41.0,1,main_or_minor_line
10,A,[Gondor] Ithilien Ranger,gondor_ithilien_ranger,64.66,89.4,103.62,wm_ithilien_bow|wm_ithilien_bow_b|wm_ithilien_bow_c,320.0,1.15,93.25,False,gondor,51.0,8,special_or_unlinked
11,A,[Gondor] Lond-Galen Pavise Guard,gondor_lg_pavise_guard,62.89,84.92,96.0,wm_ithilien_bow,245.0,1.11,157.0,True,gondor,36.0,1,main_or_minor_line
12,A,[Rhûn] Dragon-Wrath Obsidian Warbow,dragon_wrath_obsidian_warbow,62.32,82.94,95.0,sm_rh_drag_longbow_a,290.0,1.15,236.5,False,khuzait,46.0,2,main_or_minor_line
