troop_id,troop_name,level,culture,default_group,roster_index,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,has_shield,has_horse,has_bow,has_crossbow,has_ranged,has_throwing,defense_raw,ranged_item,ranged_raw,ammo_stack,crafted_melee_item,crafted_melee_template,crafted_melee_class,crafted_melee_raw,direct_throw_item,direct_throw_raw,crafted_throw_item,crafted_throw_raw,tree_root_id,upgrade_depth,line_status,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,ranged_skill_factor,melee_skill_factor,throw_skill_factor,mobility_factor,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,evidence_basis,empirical
anti_imperial_conspiracy_boss,Conspiracy Commander,31.0,sturgia,Infantry,0,240.0,60.0,240.0,30.0,25.0,60.0,100.0,160.0,True,False,False,False,False,False,18.948214285714286,,0.0,0.0,sturgia_axe_4_t4,OneHandedAxe,axe,40.48,,0.0,,0.0,,,special_or_unlinked,13.988051296112717,0.0,73.33333333333331,0.0,0.25,1.0909090909090908,0.375,1.1,,14.39442261825934,67.57782882146293,,xml_structural,false
anti_imperial_conspiracy_boss,Conspiracy Commander,31.0,sturgia,Infantry,1,240.0,60.0,240.0,30.0,25.0,60.0,100.0,160.0,True,False,False,False,False,False,73.63571428571429,,0.0,0.0,sturgia_axe_4_t4,OneHandedAxe,axe,40.48,,0.0,,0.0,,,special_or_unlinked,54.35974773786673,0.0,73.33333333333331,0.0,0.25,1.0909090909090908,0.375,1.1,,51.122584585445836,73.29864670654214,,xml_structural,false
aserai_faris,Aserai Faris,21.0,aserai,Cavalry,0,70.0,15.0,110.0,25.0,10.0,100.0,100.0,65.0,True,True,False,False,False,False,66.60499999999999,,0.0,0.0,aserai_lance_1_t5,TwoHandedPolearm,two_handed_polearm,45.24,,0.0,,0.0,aserai_youth,3.0,noble_line,49.16949653034105,0.0,81.95652173913044,0.0,0.25,0.5,0.625,1.1800000000000002,,55.28949575407819,39.52464837159229,,xml_structural,false
aserai_faris,Aserai Faris,21.0,aserai,Cavalry,1,70.0,15.0,110.0,25.0,10.0,100.0,100.0,65.0,True,True,False,False,False,False,65.04249999999999,,0.0,0.0,aserai_lance_1_t5,TwoHandedPolearm,two_handed_polearm,45.24,,0.0,,0.0,aserai_youth,3.0,noble_line,48.01601948914808,0.0,81.95652173913044,0.0,0.25,0.5,0.625,1.1800000000000002,,54.24011969787285,39.3611964320186,,xml_structural,false
aserai_faris,Aserai Faris,21.0,aserai,Cavalry,2,70.0,15.0,110.0,25.0,10.0,100.0,100.0,65.0,True,True,False,False,False,False,64.72999999999999,,0.0,0.0,aserai_lance_1_t5,TwoHandedPolearm,two_handed_polearm,45.24,,0.0,,0.0,aserai_youth,3.0,noble_line,47.78532408090948,0.0,81.95652173913044,0.0,0.25,0.5,0.625,1.1800000000000002,,54.030244486631794,39.32850604410386,,xml_structural,false
aserai_footman,Aserai Sailor,16.0,aserai,Infantry,0,70.0,20.0,70.0,40.0,10.0,60.0,30.0,70.0,True,False,False,False,False,False,46.47500000000001,,0.0,0.0,southern_throwing_axe_1_t4,ThrowingAxe,axe,40.48,,0.0,,0.0,aserai_recruit,3.0,main_or_minor_line,34.309021113243766,0.0,73.33333333333331,0.0,0.25,0.3181818181818182,0.375,1.03,,32.8814305112938,14.248259264839263,,xml_structural,false
aserai_footman,Aserai Sailor,16.0,aserai,Infantry,1,70.0,20.0,70.0,40.0,10.0,60.0,30.0,70.0,True,False,False,False,False,False,45.225,,0.0,0.0,southern_throwing_axe_1_t4,ThrowingAxe,axe,40.48,,0.0,,0.0,aserai_recruit,3.0,main_or_minor_line,33.38623948028938,0.0,73.33333333333331,0.0,0.25,0.3181818181818182,0.375,1.03,,32.04192966632953,14.117497713180306,,xml_structural,false
aserai_infantry,Aserai Boatswain,21.0,aserai,Infantry,0,100.0,60.0,100.0,45.0,15.0,80.0,45.0,100.0,True,False,False,False,False,True,54.725,,0.0,0.0,,,,0.0,,0.0,eastern_javelin_2_t3,19.8,aserai_recruit,4.0,main_or_minor_line,40.39937989074265,0.0,0.0,24.444444444444443,0.25,0.45454545454545453,0.5,1.045,,28.53842938941141,,0.0,xml_structural,false
aserai_infantry,Aserai Boatswain,21.0,aserai,Infantry,1,100.0,60.0,100.0,45.0,15.0,80.0,45.0,100.0,True,False,False,False,False,True,59.662499999999994,,0.0,0.0,bamboo_axe_t4,OneHandedAxe,axe,40.48,,0.0,eastern_javelin_2_t3,19.8,aserai_recruit,4.0,main_or_minor_line,44.04436734091244,0.0,73.33333333333331,24.444444444444443,0.25,0.45454545454545453,0.5,1.045,,42.973627762997566,25.547051115965417,39.30556764026807,xml_structural,false
aserai_infantry,Aserai Boatswain,21.0,aserai,Infantry,2,100.0,60.0,100.0,45.0,15.0,80.0,45.0,100.0,True,False,False,False,False,True,62.975,,0.0,0.0,,,,0.0,,0.0,eastern_javelin_2_t3,19.8,aserai_recruit,4.0,main_or_minor_line,46.48973866824154,0.0,0.0,24.444444444444443,0.25,0.45454545454545453,0.5,1.045,,34.079134966175545,,2.106428222251746,xml_structural,false
