troop_id,troop_name,level,upgrade_depth,line_status,culture,default_group,has_bow,has_crossbow,has_ranged,has_shield,has_horse,has_throwing,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item,primary_category,score_status,primary_category_score,evidence_basis,empirical
vlandian_banner_knight,Vlandian Banner Knight,31.0,5.0,noble_line,vlandia,Cavalry,False,False,False,True,True,False,,100.0,92.36879309241334,,99.12335744869334,0.0,75.72463768115942,0.0,,sturgia_axe_5_t5|vlandia_mace_2_t4|vlandia_sword_3_t4,Mace|OneHandedAxe|OneHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,100.0,xml_structural,false
druzhinnik_champion,Sturgian Druzhinnik Champion,31.0,5.0,noble_line,sturgia,Cavalry,False,False,False,True,True,False,,97.32738063697154,75.63425407752138,,94.03100897822587,0.0,81.95652173913044,0.0,,sturgia_lance_2_t5,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,97.32738063697154,xml_structural,false
imperial_elite_cataphract,Imperial Elite Cataphract,31.0,5.0,noble_line,empire,Cavalry,False,False,False,True,True,False,,97.08224639024195,97.76737646955847,,91.7861888591255,0.0,81.95652173913044,0.0,,empire_lance_3_t5,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,97.08224639024195,xml_structural,false
vlandian_champion,Vlandian Champion,26.0,4.0,noble_line,vlandia,Cavalry,False,False,False,True,True,False,,92.97684740098242,63.87095797382059,,86.87365098113658,0.0,81.95652173913044,0.0,,vlandia_lance_3_t5,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,92.97684740098242,xml_structural,false
druzhinnik,Sturgian Druzhinnik,26.0,4.0,noble_line,sturgia,Cavalry,False,False,False,True,True,False,,91.56504683713682,59.95583694351998,,85.78318674287964,0.0,81.95652173913044,0.0,,sturgia_lance_1_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,91.56504683713682,xml_structural,false
imperial_cataphract,Imperial Cataphract,26.0,4.0,noble_line,empire,Cavalry,False,False,False,True,True,False,,88.48335916396515,63.17104742845522,,80.1042128057483,0.0,81.95652173913044,0.0,,empire_lance_3_t5,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,88.48335916396515,xml_structural,false
aserai_veteran_faris,Aserai Veteran Faris,26.0,4.0,noble_line,aserai,Cavalry,False,False,False,True,True,False,,85.83773221540635,51.6733093559521,,81.19485281193535,0.0,81.95652173913044,0.0,,aserai_lance_1_t5,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,85.83773221540635,xml_structural,false
vlandian_vanguard,Vlandian Vanguard,26.0,5.0,main_or_minor_line,vlandia,Cavalry,False,False,False,True,True,False,,84.51624641547913,47.96190976298651,,76.25928933510507,0.0,75.72463768115942,0.0,,vlandia_sword_4_t4,OneHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,84.51624641547913,xml_structural,false
khuzait_heavy_lancer,Khuzait Heavy Lancer,26.0,5.0,main_or_minor_line,khuzait,Cavalry,False,False,False,True,True,False,,82.16684333650059,47.5959642205581,,77.39870494189113,0.0,75.72463768115942,0.0,,khuzait_mace_3_t4|khuzait_sword_4_t4,Mace|OneHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,82.16684333650059,xml_structural,false
mp_heavy_cavalry_khuzait_troop,Lancer,30.0,,special_or_unlinked,khuzait,Cavalry,False,False,False,True,True,False,,80.21571498537281,95.14022745495676,,74.25535916418833,0.0,81.95652173913044,0.0,,mp_khuzait_lance_heavy,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,80.21571498537281,xml_structural,false
battanian_horseman,Battanian Horseman,26.0,5.0,main_or_minor_line,battania,Cavalry,False,False,False,True,True,False,,78.82262329750068,50.580628469846566,,66.07465830714392,0.0,81.95652173913044,0.0,,highland_spear_4_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,78.82262329750068,xml_structural,false
vlandian_knight,Vlandian Knight,21.0,3.0,noble_line,vlandia,Cavalry,False,False,False,True,True,False,,77.48206037678491,42.98138603036171,,71.62578304612852,0.0,81.95652173913044,0.0,,vlandia_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,77.48206037678491,xml_structural,false
mp_heavy_cavalry_khuzait_hero,Lancer,30.0,,special_or_unlinked,khuzait,Cavalry,False,False,False,True,True,False,,77.31104206179647,57.73561787768096,,73.37564067410517,0.0,81.95652173913044,0.0,,mp_khuzait_lance_heavy,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,77.31104206179647,xml_structural,false
imperial_heavy_horseman,Imperial Heavy Horseman,21.0,3.0,noble_line,empire,Cavalry,False,False,False,True,True,False,,76.5422991451935,57.61587765680467,,67.88596879767705,0.0,81.95652173913044,0.0,,western_spear_4_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,76.5422991451935,xml_structural,false
ghilman_tier_3,Ghulam,26.0,3.0,main_or_minor_line,aserai,Cavalry,False,False,False,True,True,False,,72.77605849729953,57.02924397561929,,67.02967138427792,0.0,81.95652173913044,0.0,,western_spear_5_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,72.77605849729953,xml_structural,false
khuzait_lancer,Khuzait Lancer,21.0,4.0,main_or_minor_line,khuzait,Cavalry,False,False,False,True,True,False,,72.26073336592228,35.81026638156071,,66.80209585679836,0.0,75.72463768115942,0.0,,khuzait_sword_3_t3,OneHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,72.26073336592228,xml_structural,false
sturgian_horse_raider,Sturgian Horse Raider,26.0,5.0,main_or_minor_line,sturgia,Cavalry,False,False,False,True,True,False,,72.0742357909094,49.529492396725246,,63.512950581088774,0.0,81.95652173913044,0.0,,northern_spear_4_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,72.0742357909094,xml_structural,false
battanian_mounted_skirmisher,Battanian Mounted Skirmisher,26.0,,special_or_unlinked,battania,Cavalry,False,False,False,True,True,False,,66.41852705712384,45.142989592766135,,61.41076613725367,0.0,75.72463768115942,0.0,,battania_axe_2_t4|battania_sword_4_t4,OneHandedAxe|OneHandedSword,,,Defensive Troops,role_scores_v1_conservative_not_final,66.41852705712384,xml_structural,false
ghilman_tier_2,Ghilman,21.0,2.0,main_or_minor_line,aserai,Cavalry,False,False,False,True,True,False,,66.40592608571068,44.951372939070396,,60.8119687414313,0.0,81.95652173913044,0.0,,eastern_spear_2_t3,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,66.40592608571068,xml_structural,false
mp_heavy_cavalry_aserai_troop,Mamluke,30.0,,special_or_unlinked,aserai,Cavalry,False,False,False,True,True,False,,64.98573051341545,92.76798874520338,,54.12175796052956,0.0,81.95652173913044,0.0,,mp_aserai_long_spear,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,64.98573051341545,xml_structural,false
sturgian_veteran_warrior,Sturgian Heavy Axeman,26.0,,special_or_unlinked,sturgia,Infantry,False,False,False,True,False,False,,63.26656395131462,38.81959518827515,,64.80168104448335,0.0,73.33333333333331,0.0,,sturgia_axe_4_t4,OneHandedAxe,,,Defensive Troops,role_scores_v1_conservative_not_final,63.26656395131462,xml_structural,false
mp_heavy_cavalry_empire_troop,Cataphract,30.0,,special_or_unlinked,empire,Cavalry,False,False,False,True,True,False,,62.789596302988905,92.42591652606355,,55.706481618189876,0.0,81.95652173913044,0.0,,mp_western_lance,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,62.789596302988905,xml_structural,false
mp_heavy_cavalry_empire_hero,Cataphract,30.0,,special_or_unlinked,empire,Cavalry,False,False,False,True,True,False,,62.495771007251435,55.42797537444708,,57.09065406762144,0.0,81.95652173913044,0.0,,mp_western_lance,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,62.495771007251435,xml_structural,false
imperial_legionary,Imperial Legionary,26.0,,special_or_unlinked,empire,Infantry,False,False,False,True,False,False,,61.968004809383885,43.46805187770745,,58.00165924926001,0.0,81.95652173913044,0.0,,imperial_throwing_spear_1_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,61.968004809383885,xml_structural,false
mp_heavy_cavalry_vlandia_troop,Knight,30.0,,special_or_unlinked,vlandia,Cavalry,False,False,False,True,True,False,,61.77044227720231,92.26717200234958,,52.44844726610561,0.0,81.95652173913044,0.0,,mp_western_long_lance,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,61.77044227720231,xml_structural,false
