file,sha256,size_bytes
artifact_hashes.csv,a88f54de58e0d158d66559be38bd0a2bee9f8534324373a0d15dcc9f85e8ae73,1588
batch_state.json,780827dc3218399572b0fc01bf7b0622573f0cb96736814a48102909cdb9d098,1088
bundle/lannister_prideknight_mixed_2026-08-21.tar.xz.base64.part-00,bc8b8032303bab5785b36bf3dd591963b30e928cddb007b1b4acfa87498e151c,18525
bundle/README.md,1f71a7ef3a649de4cd6453ba6922c82a7702a31939208b8232b806e22bbb50bf,752
handoff/ANALYSIS_PROMPT.md,a0999090cbd651230151777030c763020733706fc710718ce525d97912abeeaa,5358
reports/aggregation_validation.csv,90985ca7327a1a4b97885c08d3254ebacf8ebbc4b206a269d8175be79bc820a1,804
reports/grouping_validation.csv,e06bb4a6e1e939e975bbfa13aad7cc3b677a2115db233ae0ee396ef14c91f398,1396
reports/screenshot_deduplication_audit.csv,d406864d4a2e9f766ed4bed336401c177590070ab840365444ba2e0c147bf484,5767
screenshots_manifest.csv,21e28ed8a88f5ee375cd7c2716697449762f3b19acc344038cda24bd0fb28ed5,3833
source_inventory.csv,8d9483432fe9989e4f3d1277b79525565a0cb5ad19afc4199f392eb1f17123bf,4900
source_provenance.json,8a381523f7cfb8340633871582071af8ef09e1527fb7067d4ab31f52df260510,4582
validation_report.json,9f00925622178777800fde617718d72ecb3775f6ff3a50c98b4cc913d0558325,2314
