track,game_version,cohort,context,participant_scope,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,evidence_grade,independent_battles,ordinary_occurrences,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,numeric_display_gate_passed,reliability_status,more_battles_needed,more_deployed_needed,role_adjusted_rank_status
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,Braavosi Soldier [T3],,unresolved_provisional_label,,,exploratory,1,1,1,1,1,0,0,0,1.000000,64,1,true,0.015625,0.015625,170,1,true,0.005882,2.656250,0.009743,1.000000,0.000000,0.000000,false,insufficient_battles_and_deployed,4,19,not_applicable_current_methodology_keeps_offense_and_defense_separate
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,Broken Guard [T1],looter2,confirmed_id,Infantry,infantry,exploratory,1,1,1,1,1,0,0,0,1.000000,64,1,true,0.015625,0.015625,170,1,true,0.005882,2.656250,0.009743,1.000000,0.000000,0.000000,false,insufficient_battles_and_deployed,4,19,not_applicable_current_methodology_keeps_offense_and_defense_separate
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,Qartheen Pureborn Champion [T5],qartheen_champion,confirmed_id,Ranged,ranged,exploratory,1,1,4,4,4,0,0,0,1.000000,96,1,true,0.041667,0.041667,121,1,true,0.033058,1.260417,0.008609,1.000000,0.000000,0.000000,false,insufficient_battles_and_deployed,4,16,not_applicable_current_methodology_keeps_offense_and_defense_separate
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,Qartheen Enthroned Guardian [T6],enthroned_guardian,confirmed_id,Ranged,ranged,exploratory,2,2,173,173,138,0,0,0,0.797688,160,2,true,0.862500,0.688006,291,2,true,0.594502,1.450795,0.267998,1.000000,0.000000,0.000000,false,insufficient_battles,3,0,not_applicable_current_methodology_keeps_offense_and_defense_separate
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,Lengii Mounted Slayer [T4],,unresolved_provisional_label,,,exploratory,1,1,12,12,4,0,0,0,0.333333,64,1,true,0.062500,0.020833,170,1,true,0.070588,0.885417,-0.008088,1.000000,0.000000,0.000000,false,insufficient_battles_and_deployed,4,8,not_applicable_current_methodology_keeps_offense_and_defense_separate
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,Lengii Slaver [T3],yiti_raider,confirmed_id,Infantry,infantry,exploratory,1,1,28,19,3,4,5,0,0.107143,64,1,true,0.046875,0.005022,170,1,true,0.164706,0.284598,-0.117831,0.678571,0.142857,0.321429,false,insufficient_battles,4,0,not_applicable_current_methodology_keeps_offense_and_defense_separate
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,Braavosi Footman [T2],,unresolved_provisional_label,,,exploratory,1,1,10,5,1,2,3,0,0.100000,64,1,true,0.015625,0.001563,170,1,true,0.058824,0.265625,-0.043199,0.500000,0.200000,0.500000,false,insufficient_battles_and_deployed,4,10,not_applicable_current_methodology_keeps_offense_and_defense_separate
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,Lengii Criminal [T2],yiti_criminal,confirmed_id,Ranged,ranged,exploratory,1,1,18,18,1,0,0,0,0.055556,96,1,true,0.010417,0.000579,121,1,true,0.148760,0.070023,-0.138344,1.000000,0.000000,0.000000,false,insufficient_battles_and_deployed,4,2,not_applicable_current_methodology_keeps_offense_and_defense_separate
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,Dornish Archer [T3],,unresolved_provisional_label,,,exploratory,1,1,1,1,0,0,0,0,0.000000,64,1,true,0.000000,0.000000,170,1,true,0.005882,0.000000,-0.005882,1.000000,0.000000,0.000000,false,insufficient_battles_and_deployed,4,19,not_applicable_current_methodology_keeps_offense_and_defense_separate
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,Qartheen Pureborn Fighter [T3],qartheen_pureborn,confirmed_id,Infantry,infantry,exploratory,1,1,1,1,0,0,0,0,0.000000,64,1,true,0.000000,0.000000,170,1,true,0.005882,0.000000,-0.005882,1.000000,0.000000,0.000000,false,insufficient_battles_and_deployed,4,19,not_applicable_current_methodology_keeps_offense_and_defense_separate
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,Qartheen Pureborn Warrior [T4],qartheen_pureborn_warrior,confirmed_id,Infantry,infantry,exploratory,1,1,1,1,0,0,0,0,0.000000,64,1,true,0.000000,0.000000,170,1,true,0.005882,0.000000,-0.005882,1.000000,0.000000,0.000000,false,insufficient_battles_and_deployed,4,19,not_applicable_current_methodology_keeps_offense_and_defense_separate
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,,,[unreadable ordinary label],,unresolved_label,,,exploratory,1,1,1,0,0,0,1,0,0.000000,64,1,true,0.000000,0.000000,170,1,true,0.005882,0.000000,-0.005882,0.000000,0.000000,1.000000,false,insufficient_battles_and_deployed,4,19,not_applicable_current_methodology_keeps_offense_and_defense_separate
