path,sha256,bytes
analysis/generate_phase2.py,07d12b28ff53b1232e0872065d3882c78b6b5bf38ec1da94d7e2326f3ab18db1,57718
analysis/test_generate_phase2.py,46753b518e9f7411012cbf9ff1a7fcb7382c1f27149bd712fd9b7d63bef27c1d,4959
analysis/ANALYSIS_REPORT.md,056c62735e28d687bcbb275ec136c7a82e54b8373ac8cbfb5fe620c79f5c9c02,5994
analysis/NEXT_TEST_RECOMMENDATION.md,b55c416246fb95875cd7a28cf5722519a84dde994d1c79d505ba116402fd2c3c,319
analysis/aggregation_validation.csv,e3b7ce5b46ba6a829c1e31ffb05eddd3861d63fcdc75dae2577b88f1667e5598,194
analysis/analysis_state.json,8397b806aae978f9483c1eb41582fe874730c8947f233da45f9fa6368202dd87,773
analysis/battle_context_review.csv,6fa23cba36d9241e49354cab7d8374594df5c85abad700b14b171b4443695733,628
analysis/battle_pressure_margin.csv,6fa23cba36d9241e49354cab7d8374594df5c85abad700b14b171b4443695733,628
analysis/canonical_identity_audit.csv,eee628bb0f29baf7c2e86a0e6b9e6a23fb45bfe1344deff672267a92b1530a89,1465
analysis/canonical_validation_report.json,651a6c17b0af3c2556a1896e4f9c32fcdc0be6745fd7025a2c9b06929a12b120,1840
analysis/cohort_compatibility.json,e2131dee6ba2a3fea5ba181a238a2870c34dbadddfd57b2894a54512b99160fd,1030
analysis/empirical_analysis_summary.md,741590c5dc955c4060970409d309fdbccc2da98620c83686f1dd7ebe9c79cbf2,728
analysis/empirical_residual_rankings.csv,d248ff63e4ca291f2ecde30cbb93235e600352ac97649594599f746048fd9422,78
analysis/excluded_character_rows.csv,1ce2e313958749460278f60856ac3da36fe443e2e4807458081d0cf98cf70501,7786
analysis/grouping_validation.csv,c889d112acf212cf4c1f975f83df0206d01a62df90c4ab5770ae595b5b69611d,345
analysis/guardian_battle_evidence.csv,2c91c84efd4337efc647dea4759a1915685fadd5903e006d07a653992e3eff08,1813
analysis/guardian_cohort_comparison.csv,992715912f78fea5cb9e7bbaed7ddf276aef23be7a30567517860bafb6285ba6,1179
analysis/input_verification.json,e0fe4025c7637c2d5e8bfd81ddcafe6957258210733042405222c109e5534ad3,6811
analysis/insufficient_evidence.csv,f55a6ebbb97dcb833225a4e2bb25b628cc34fabc3d6ea09f9aea04360031696f,5245
analysis/model_vs_empirical.csv,1ff672c23c2535c07e04853feb667d07ce8332d9180cc8c0980606d510bd6903,162
analysis/ordinary_occurrences.csv,1ffdce1d8369e100e488621befd8485b7c11eafff60c38b7ab64f7b2f856c022,6268
analysis/outlier_report.csv,27a7aae029ec7051259c0e036c77703c68a13a87d9f33f4f700b6d83eab74f5a,195
analysis/queue_validation.json,3d9ad710849b965a43aa009afa49ce691f4a6e205bb8ad715135cc0f89e62288,1066
analysis/ranking_complete.csv,f55a6ebbb97dcb833225a4e2bb25b628cc34fabc3d6ea09f9aea04360031696f,5245
analysis/ranking_reliable.csv,e8b08e468b4bf99dfbdbf3c0734ad21502efaa25fe6141d11791b0ce46a83b16,761
analysis/screenshot_deduplication_audit.csv,593a08c4ec2f4c853ebad8a93bb2bb3c4b4e9fb5b9e7d984ae57a7a0d34a22c2,807
analysis/unresolved_rows.csv,84a9fe73da8b8c768b4a05b66101a6afeb52524fbe29346e9668d69bd784cb7d,3094
analysis/validation_report.json,72b22abcde6ee82f96c5c115eceb3bed0699920b4331e04e61a433ae123c1691,1436
reviewed/phase2_review_summary.json,07c680948f9208579fd4d8a8716db55c0ebd377eb7f0fb65309282a71c0a2485,542
reviewed/review_resolutions.csv,2d65393e42a9aafc18bbd5d98162490c64a166ff9397a82a7202780b21f2161e,1883
