observation_id,battle_id,battle_type,source_image_indices,parent_group,display_name_raw,canonical_name_slug,review_status,changed_fields,original_survivors,reviewed_survivors,original_kills,reviewed_kills,original_deaths,reviewed_deaths,original_wounded,reviewed_wounded,original_deployed,reviewed_deployed,review_source,reviewer,reviewed_at,review_note,original_upgrade_ready,reviewed_upgrade_ready,original_routed,reviewed_routed
battle_20260723_151353_defender_052_reach_horseman_t5,battle_20260723_151353,field,35,Jaime Lannister's Party,Reach Horseman [T5],reach_horseman_t5,corrected,kills,6,6,0,19,0,0,1,1,7,7,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_174229_defender_023_queen_s_man_t6,battle_20260723_174229,field,3;37,Hake's Party,Queen's Man [T6] &,queen_s_man_t6,corrected,survivors;wounded,58,15,49,49,0,0,1,10,59,25,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_201927_attacker_004_stormlands_elite_maceman_t5,battle_20260723_201927,field,38,,Stormlands Elite Maceman [T5],stormlands_elite_maceman_t5,corrected,survivors,2,27,84,84,0,0,7,7,9,34,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_205952_attacker_003_stormlands_heavy_crossbowman_t5,battle_20260723_205952,siege_attack,57,Hake's Party,Stormlands Heavy Crossbowman [T5],stormlands_heavy_crossbowman_t5,corrected,deaths;wounded,34,34,88,88,2,11,4,24,40,69,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_205952_attacker_005_rhoynar_bahriyyah_t5,battle_20260723_205952,siege_attack,57,Hake's Party,Rhoynar Bahriyyah [T5],rhoynar_bahriyyah_t5,corrected,wounded,18,18,49,49,1,1,0,9,19,28,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_205952_attacker_014_reach_flower_knight_t6,battle_20260723_205952,siege_attack,57,Hake's Party,Reach Flower Knight [T6],reach_flower_knight_t6,confirmed,,7,7,9,9,1,1,2,2,10,10,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_231944_attacker_005_rhoynar_bahriyyah_t5,battle_20260723_231944,field,43,Hake's Party,Rhoynar Bahriyyah [T5],rhoynar_bahriyyah_t5,corrected,kills,8,8,,7,0,0,0,0,8,8,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_231944_attacker_006_stormlands_heavy_crossbowmant5,battle_20260723_231944,field,43,Hake's Party,Stormlands Heavy Crossbowman[T5],stormlands_heavy_crossbowmant5,confirmed,,9,9,4,4,1,1,1,1,11,11,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_234233_attacker_004_rhoynar_bahriyyah_t5,battle_20260723_234233,siege_attack,44;45,Hake's Party,Rhoynar Bahriyyah [T5],rhoynar_bahriyyah_t5,confirmed,,2,2,73,73,6,6,22,22,30,30,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_235732_attacker_003_queen_s_man_t6,battle_20260723_235732,field,46,,Queen's Man [T6],queen_s_man_t6,corrected,survivors,4,48,131,131,1,1,6,6,11,55,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
