observation_id,battle_id,battle_type,source_image_indices,parent_group,display_name_raw,canonical_name_slug,review_status,changed_fields,original_survivors,reviewed_survivors,original_kills,reviewed_kills,original_deaths,reviewed_deaths,original_wounded,reviewed_wounded,original_deployed,reviewed_deployed,review_source,reviewer,reviewed_at,review_note,original_upgrade_ready,reviewed_upgrade_ready,original_routed,reviewed_routed
battle_20260723_004132_attacker_011_stormlands_heavy_crossbowman_t5,battle_20260723_004132,field,19,Hake's Party,Stormlands Heavy Crossbowman [TS],stormlands_heavy_crossbowman_t5,confirmed,,8,8,6,6,0,0,0,0,8,8,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_094752_attacker_005_dragonstone_elite_halberdier_t5,battle_20260723_094752,field,21,,Dragonstone Elite Halberdier [T5],dragonstone_elite_halberdier_t5,confirmed,,11,11,10,10,0,0,0,0,11,11,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_094752_attacker_006_queen_s_man_t6,battle_20260723_094752,field,21,,Queen's Man [T6],queen_s_man_t6,corrected,kills,2,2,0,9,0,0,0,0,2,2,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_094752_attacker_008_riverlands_ranger_t5,battle_20260723_094752,field,21,,Riverlands Ranger [T5],riverlands_ranger_t5,corrected,kills,13,13,,7,0,0,0,0,13,13,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_104235_attacker_041_dragonstone_elite_archer_t5,battle_20260723_104235,field,23,Stannis Baratheon's Party,Dragonstone Elite Archer [T5],dragonstone_elite_archer_t5,confirmed,,5,5,7,7,0,0,0,0,5,5,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_104235_attacker_042_queen_s_man_t6,battle_20260723_104235,field,23,Stannis Baratheon's Party,Queen's Man [T6],queen_s_man_t6,confirmed,,0,0,6,6,1,1,0,0,1,1,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,7,
battle_20260723_104235_attacker_045_reaver_t4,battle_20260723_104235,field,23,TyrionLannister's Party,Reaver [T4],reaver_t4,confirmed,,0,0,26,26,3,3,24,24,27,27,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_104235_attacker_048_reach_house_guard_t5,battle_20260723_104235,field,23,TyrionLannister's Party,Reach House Guard [T5],reach_house_guard_t5,confirmed,,0,0,5,5,2,2,10,10,12,12,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_111115_attacker_003_rhoynar_bahriyyah_t5,battle_20260723_111115,siege_attack,24;27,,Rhoynar Bahriyyah [75],rhoynar_bahriyyah_t5,confirmed,,0,0,4,4,0,0,2,2,2,2,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_111115_attacker_012_stormlands_heavy_crossbowman_t5,battle_20260723_111115,siege_attack,24,,Stormlands Heavy Crossbowman [T5],stormlands_heavy_crossbowman_t5,confirmed,,5,5,11,11,0,0,2,2,7,7,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
