observation_id,battle_id,battle_type,source_image_indices,parent_group,display_name_raw,canonical_name_slug,review_status,changed_fields,original_survivors,reviewed_survivors,original_kills,reviewed_kills,original_deaths,reviewed_deaths,original_wounded,reviewed_wounded,original_deployed,reviewed_deployed,review_source,reviewer,reviewed_at,review_note,original_upgrade_ready,reviewed_upgrade_ready,original_routed,reviewed_routed
battle_20260718_011220_defender_017_rhodok_admiral_sharpshooter,battle_20260718_011220,field,7,Faldrec's Party,Rhadok Admiral Sharpshooter,rhodok_admiral_sharpshooter,corrected,wounded,67,67,187,187,1,1,0,9,68,77,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260718_013447_attacker_006_imperial_naute,battle_20260718_013447,field,8,Faldrec's Party,Imperial Naute,imperial_naute,corrected,kills;routed,3,3,,7,0,0,6,6,9,9,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,1,0
battle_20260721_233102_defender_030_reach_house_guard_t5,battle_20260721_233102,field,52,Hake's Party,Reach House Guard [T5],reach_house_guard_t5,confirmed,,0,0,4,4,0,0,3,3,3,3,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_001446_attacker_004_reach_horseman_t5,battle_20260723_001446,field,16,Hake's Party,Reach Horseman [T5],reach_horseman_t5,confirmed,,0,0,43,43,5,5,10,10,15,15,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_001446_attacker_005_dragonstone_elite_halberdier_t5,battle_20260723_001446,field,16,Hake's Party,Dragonstone Elite Halberdier [T5],dragonstone_elite_halberdier_t5,confirmed,,0,0,37,37,1,1,16,16,17,17,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_001446_attacker_006_reach_master_archer_t5,battle_20260723_001446,field,16,Hake's Party,Reach Master Archer [T5],reach_master_archer_t5,corrected,survivors,1,11,34,34,0,0,1,1,2,12,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_001446_attacker_012_reach_flower_knight_t6,battle_20260723_001446,field,16,Hake's Party,Reach Flower Knight [T6],reach_flower_knight_t6,confirmed,,0,0,15,15,1,1,3,3,4,4,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_004132_attacker_004_reach_horseman_t5,battle_20260723_004132,field,19,Hake's Party,Reach Horseman [T5],reach_horseman_t5,confirmed,,4,4,22,22,1,1,6,6,11,11,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_004132_attacker_007_rhoynar_bahriyyah_t5,battle_20260723_004132,field,19,Hake's Party,Rhoynar Bahriyyah [75],rhoynar_bahriyyah_t5,corrected,kills,18,18,1,11,0,0,0,0,18,18,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_004132_attacker_009_reach_master_archer_t5,battle_20260723_004132,field,19,Hake's Party,Reach Master Archer [T5],reach_master_archer_t5,corrected,kills,12,12,,7,0,0,0,0,12,12,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
